,h,t,r
178,585,17,4
179,4054,9,4
180,10866,174,4
181,4297,174,4
182,13740,10,4
183,13116,10,4
184,14279,174,4
185,10272,9,4
186,13864,10,4
187,4799,9,4
188,10501,10,4
189,1532,174,4
190,5055,174,4
191,8108,9,4
192,8523,174,4
193,11837,10,4
194,13732,10,4
195,7752,10,4
196,6074,174,4
197,5290,10,4
198,10607,174,4
199,8228,10,4
200,4423,9,4
201,12046,174,4
202,4557,9,4
203,7213,174,4
204,5493,17,4
205,13864,174,4
206,12746,10,4
207,2783,17,4
208,4002,17,4
209,10740,17,4
210,12450,9,4
211,11047,9,4
212,8355,17,4
213,9679,9,4
214,379,17,4
215,5671,9,4
216,7277,17,4
217,10329,17,4
218,4596,17,4
219,11632,17,4
220,4558,9,4
221,4558,174,4
222,12953,174,4
223,11145,10,4
224,13218,10,4
225,8084,174,4
226,7446,174,4
227,2660,9,4
228,12663,174,4
229,4540,174,4
230,3283,17,4
231,2975,17,4
232,13282,10,4
233,7062,9,4
234,12250,17,4
235,10291,10,4
236,11717,9,4
237,13479,17,4
238,7428,9,4
239,4583,17,4
240,11957,10,4
241,2319,9,4
242,4219,9,4
243,10874,17,4
244,8979,10,4
245,13817,9,4
246,9616,10,4
247,12663,10,4
248,7828,9,4
249,379,174,4
250,12746,9,4
251,12257,9,4
252,4324,17,4
253,6487,174,4
254,9580,10,4
255,181,17,4
256,7937,174,4
257,6612,9,4
258,13023,10,4
259,4113,10,4
260,3940,174,4
261,7305,17,4
262,11886,10,4
263,14245,17,4
264,5627,9,4
265,10177,17,4
266,9616,9,4
267,4591,10,4
268,6625,9,4
269,8669,174,4
270,5747,174,4
271,4190,10,4
272,12681,9,4
273,11333,10,4
274,8355,9,4
275,11404,17,4
276,12913,10,4
277,3015,174,4
278,9684,10,4
279,4054,17,4
280,11198,9,4
281,11905,10,4
282,8006,174,4
283,10016,9,4
284,10851,10,4
285,12953,9,4
286,4007,17,4
287,13540,17,4
288,4190,174,4
289,1528,10,4
290,10920,10,4
291,12519,174,8
292,14211,10,8
293,6927,10,8
294,2129,17,8
295,4029,10,8
296,13568,10,8
297,5656,17,8
298,14207,10,8
299,7762,10,8
300,4866,10,8
301,11083,17,8
302,12663,17,8
303,10880,10,8
304,9913,9,8
305,9925,10,8
306,11783,174,8
307,7084,10,8
308,13947,9,8
309,8732,9,8
310,3222,174,8
311,12351,17,8
312,6243,10,8
313,10881,174,8
314,2551,10,8
315,9679,17,8
316,12450,10,8
317,12010,17,8
318,11847,10,8
319,3527,174,8
320,9472,9,8
321,4131,9,8
322,9127,174,8
323,7028,9,8
324,10061,9,8
325,6353,10,8
326,8442,174,8
327,9712,17,8
328,9570,9,8
329,11614,17,8
330,1700,174,8
331,11145,9,8
332,12689,10,8
333,11697,9,8
334,12462,17,8
335,2653,17,8
336,9466,174,8
337,9084,10,8
338,4440,174,8
339,11004,17,8
340,14536,9,8
341,3275,17,8
342,10878,9,8
343,12556,9,8
344,6612,9,8
345,6625,174,8
346,8622,10,8
347,11771,10,8
348,10152,17,8
349,13568,174,8
350,7978,10,8
351,12244,9,8
352,6353,17,8
353,10326,10,8
354,10246,174,8
355,5202,17,8
356,14135,17,8
357,9886,17,8
358,8978,9,8
359,9913,10,8
360,13040,174,8
361,8294,17,8
362,4666,174,8
363,13218,174,8
364,10133,174,8
365,1365,9,8
366,8523,10,8
367,4130,174,8
368,1263,10,8
369,13023,17,8
370,12828,10,8
371,11728,17,8
372,12681,17,8
373,2734,10,8
374,4908,17,8
375,11416,9,8
376,8446,17,8
377,7446,10,8
378,6988,17,8
379,6229,174,8
380,9620,10,8
381,11911,9,8
382,4583,174,8
383,5856,9,8
384,9015,17,8
385,4591,10,8
386,10422,9,8
387,6319,10,8
388,7253,10,8
389,3197,9,8
390,11771,9,8
391,10151,17,8
392,12953,10,8
393,1372,10,8
394,6359,9,8
395,10177,10,8
396,10133,10,8
397,11502,17,8
398,11280,10,8
399,8446,9,8
400,6317,10,8
401,5415,10,8
402,7900,9,8
403,3197,174,8
404,10090,174,8
405,10880,9,8
406,9727,10,8
407,13864,9,8
408,9930,174,8
409,7213,10,8
410,7498,9,8
411,7498,10,8
412,11502,174,8
413,9350,17,8
414,7455,9,8
415,13817,174,8
416,7685,9,8
417,3283,9,8
418,2763,174,8
419,7973,9,8
420,3265,9,8
421,7487,10,8
422,9842,9,8
423,2097,9,8
424,12556,17,8
425,11045,10,8
426,13240,10,8
427,9609,9,8
428,14211,9,8
429,14328,174,8
430,5084,17,8
431,893,9,8
432,2734,9,8
433,10486,9,8
434,13307,9,8
435,1372,174,8
436,6910,10,8
437,7361,174,8
438,1365,174,8
439,1321,9,8
440,9461,10,8
441,11549,17,8
442,12319,9,8
443,8371,10,8
444,13025,174,8
445,12908,10,8
446,8167,9,8
447,3840,17,8
448,12946,9,8
449,4454,174,8
450,11735,10,8
451,13248,17,8
452,10950,9,8
453,7170,10,8
454,8732,10,8
455,10377,17,8
456,3130,10,8
457,12274,9,8
458,11825,17,8
459,3909,17,8
460,12553,174,8
461,8292,10,8
462,10177,9,8
463,13008,9,8
464,12833,10,8
465,12689,9,8
466,7423,17,8
467,3126,9,8
468,10629,10,8
469,8923,174,8
470,8669,9,8
471,11580,17,8
472,11946,10,8
473,10827,10,8
474,6475,9,8
475,13485,9,8
476,13439,9,8
477,11121,174,8
478,8772,10,8
479,3892,9,8
480,13396,10,8
481,7814,9,8
482,9693,9,8
483,11936,10,8
484,9255,174,8
485,8543,10,8
486,12510,174,8
487,12274,17,8
488,12746,17,8
489,4671,17,8
490,4591,174,8
491,9466,17,8
492,13396,17,8
493,10314,9,8
494,2679,17,8
495,8765,17,8
496,8371,9,8
497,7994,9,8
498,4423,17,8
499,9818,9,8
500,11121,11341,8
501,13307,10,8
502,7361,9,8
503,2542,9,8
504,8182,9,8
505,10740,174,8
506,6947,17,8
507,11946,17,8
508,4392,9,8
509,3130,17,8
510,10905,17,8
511,7062,9,8
512,6369,174,8
513,8228,174,8
514,8167,17,8
515,9355,174,8
516,8904,9,8
517,12891,17,8
518,11114,10,8
519,905,17,8
520,6525,10,8
521,3427,174,8
522,13732,17,8
523,13245,9,8
524,7702,9,8
525,8904,174,8
526,10657,10,8
527,9684,17,8
528,12699,17,8
529,5510,174,8
530,9227,174,8
531,10051,9,8
532,13067,174,8
533,14409,9,8
534,13864,10,8
535,1422,10,8
536,5798,17,8
537,1834,17,8
538,12025,17,8
539,4557,17,8
540,4863,174,8
541,9665,10,8
542,10303,9,8
543,7446,17,8
544,13289,10,8
545,10232,10,8
546,13023,10,8
547,7103,9,8
548,317,10,8
549,6353,174,8
550,7762,17,8
551,7613,17,8
552,12332,17,8
553,3534,10,8
554,989,174,8
555,11117,9,8
556,6176,9,8
557,13863,9784,1032
558,13863,2566,1032
559,5616,6748,526
560,5309,11053,1038
561,4779,138,535
562,11331,138,535
563,3994,138,535
564,3937,1912,540
565,9200,6904,540
566,11853,1912,540
567,6314,6904,540
568,4217,2238,540
569,2063,1912,540
570,9296,3669,540
571,5930,6904,540
572,939,6904,540
573,10008,2238,540
574,4217,3669,540
575,1417,13213,540
576,12940,3669,540
577,12940,2238,540
578,3482,3938,540
579,752,255,540
580,11693,6904,540
581,254,2238,540
582,801,3669,540
583,13142,6904,540
584,2699,3669,540
585,4387,3669,540
586,3937,6904,540
587,1614,6904,540
588,8534,1912,540
589,9524,3669,540
590,2239,11203,540
591,254,3938,540
592,6494,3669,540
593,9458,11632,1062
594,1262,8,1062
595,13576,138,55
596,9688,138,55
597,12629,138,55
598,10294,138,55
599,12219,138,55
600,13446,138,55
601,9921,138,55
602,10413,138,55
603,11831,138,55
604,12091,138,55
605,12890,138,55
606,4732,138,55
607,2911,138,55
608,11451,138,55
609,11603,138,55
610,4980,138,55
611,9880,138,55
612,13153,138,55
613,13129,138,55
614,12292,138,55
615,10480,138,55
616,1355,138,55
617,4384,138,55
618,7530,138,55
619,8494,138,55
620,13827,138,55
621,11889,138,55
622,6701,138,55
623,9979,138,55
624,9601,138,55
625,10182,138,55
626,2302,138,55
627,980,138,55
628,5673,138,55
629,11484,138,55
630,13347,138,55
631,12227,138,55
632,5754,138,55
633,9065,138,55
634,8698,138,55
635,75,138,55
636,10146,138,55
637,5921,138,55
638,9000,138,55
639,12852,138,55
640,11997,138,55
641,7885,138,55
642,1639,984,569
643,10586,5880,569
644,1639,1273,569
645,10586,2278,569
646,4218,914,569
647,7984,6608,569
648,10927,5880,569
649,6403,2401,570
650,2654,988,59
651,1693,988,59
652,6929,4491,59
653,1198,1556,59
654,6708,1274,59
655,2721,604,59
656,1557,1556,59
657,145,169,59
658,603,2482,59
659,984,988,59
660,8942,4470,59
661,1557,104,59
662,4253,146,59
663,1657,4470,59
664,441,2482,59
665,2483,1274,59
666,2278,951,59
667,2278,1274,59
668,2101,988,59
669,1546,1280,59
670,1693,169,59
671,6775,2482,59
672,6286,2482,59
673,8784,2482,59
674,7957,959,59
675,441,104,59
676,3728,1274,59
677,2041,1274,59
678,7902,146,59
679,5242,951,59
680,1693,104,59
681,5909,604,59
682,11282,604,59
683,2700,1197,59
684,1557,988,59
685,2179,2482,59
686,1693,4491,59
687,8298,169,59
688,441,1274,59
689,3728,1197,59
690,6474,951,59
691,6331,4491,59
692,3665,951,59
693,914,1556,59
694,2700,604,59
695,1745,988,59
696,3956,169,59
697,1013,146,59
698,1557,169,59
699,8298,104,59
700,10875,146,59
701,950,2482,59
702,2700,4491,59
703,12454,1274,59
704,3193,1556,59
705,5242,146,59
706,1745,169,59
707,3076,4491,59
708,2721,959,59
709,6963,104,59
710,8183,951,59
711,3956,959,59
712,6393,1556,59
713,2179,169,59
714,950,4491,59
715,12454,4491,59
716,5047,169,59
717,2700,1660,59
718,4530,4491,59
719,3076,959,59
720,2721,1660,59
721,603,1274,59
722,950,604,59
723,6331,2482,59
724,1546,4431,59
725,3728,146,59
726,958,988,59
727,4530,104,59
728,2278,2655,59
729,6300,1274,59
730,441,1556,59
731,8464,146,59
732,6608,2482,59
733,8073,104,59
734,4604,7702,65
735,1113,6876,65
736,9678,11,65
737,6748,2624,65
738,6318,4558,65
739,7707,11083,65
740,9907,10175,65
741,5316,5315,65
742,9678,10394,65
743,2682,2681,65
744,8356,11001,65
745,7142,2920,65
746,4382,11441,65
747,6844,7446,65
748,5425,2613,65
749,3177,6947,65
750,8423,842,65
751,7438,12351,65
752,9940,11213,65
753,3284,9517,65
754,8243,8328,65
755,3221,2129,65
756,6746,1421,65
757,1418,9086,65
758,4604,11554,65
759,7707,10611,65
760,7680,8575,65
761,6467,4068,65
762,1533,2653,65
763,8240,4193,65
764,3177,10715,65
765,8938,10493,65
766,1352,10693,65
767,11226,5290,65
768,2461,7321,65
769,3221,3222,65
770,5068,11901,65
771,7707,2681,65
772,3082,2763,65
773,1425,4113,65
774,1830,3285,65
775,9446,7213,65
776,1639,3728,65
777,9438,181,65
778,2720,7957,65
779,1533,5290,65
780,3196,7277,65
781,4629,9684,65
782,3177,3005,65
783,12944,14154,65
784,4629,10501,65
785,7680,3367,65
786,11853,1113,584
787,11526,7142,584
788,254,11296,584
789,9606,240,81
790,9790,240,81
791,2857,240,81
792,11147,240,81
793,12574,240,81
794,6143,240,81
795,1149,240,81
796,12372,240,81
797,9532,240,81
798,10990,240,81
799,4741,240,81
800,10523,240,81
801,5896,240,81
802,10743,240,81
803,13309,240,81
804,4980,240,81
805,8103,240,81
806,13651,240,81
807,13633,240,81
808,2635,240,81
809,9921,240,81
810,10463,240,81
811,11199,240,81
812,6476,240,81
813,8782,240,81
814,7052,240,81
815,4594,240,81
816,583,240,81
817,14736,240,81
818,10312,240,81
819,8164,240,81
820,13430,240,81
821,1960,240,81
822,9399,240,81
823,12821,240,81
824,12932,240,81
825,7953,240,81
826,9651,240,81
827,13003,240,81
828,5814,240,81
829,13081,240,81
830,6135,240,81
831,229,240,81
832,5360,240,81
833,5637,240,81
834,10054,240,81
835,5527,240,81
836,13454,240,81
837,6702,240,81
838,12283,240,81
839,10085,240,81
840,12288,240,81
841,10433,240,81
842,3729,240,81
843,4729,240,81
844,9304,240,81
845,12368,240,81
846,75,240,81
847,1711,240,81
848,8902,240,81
849,10255,240,81
850,13592,240,81
851,3891,240,81
852,13302,240,81
853,12648,240,81
854,7770,240,81
855,3983,240,81
856,12169,240,81
857,11222,240,81
858,10328,240,81
859,12789,240,81
860,9229,240,81
861,12335,240,81
862,540,240,81
863,9179,240,81
864,982,240,81
865,590,240,81
866,2300,240,81
867,6998,240,81
868,13446,240,81
869,3487,240,81
870,1776,240,81
871,11451,240,81
872,4119,240,81
873,10733,240,81
874,8352,240,81
875,13063,240,81
876,13198,240,81
877,7168,240,81
878,7843,4218,593
879,1198,7984,593
880,105,1639,593
881,2151,138,83
882,9087,138,83
883,843,138,83
884,7863,138,83
885,10742,138,83
886,6771,138,83
887,8629,138,83
888,3477,138,83
889,5813,138,83
890,2586,138,83
891,1410,138,83
892,2587,138,83
893,5215,138,83
894,9274,138,83
895,2906,138,83
896,580,138,83
897,247,138,83
898,2418,138,83
899,5641,138,83
900,6878,138,83
901,13235,138,83
902,9200,6904,85
903,4387,2238,85
904,9200,2238,85
905,1388,9757,85
906,752,6904,85
907,3007,3669,85
908,254,11203,85
909,3482,3938,85
910,9068,6904,85
911,2063,255,85
912,6314,3669,85
913,1114,3669,85
914,1614,11833,85
915,3937,12579,85
916,12940,2238,85
917,1114,6788,85
918,2239,11203,85
919,10008,6904,85
920,254,1912,85
921,11693,1912,85
922,3872,5834,1116
923,5616,2665,1116
924,2720,7957,606
925,5185,3105,606
926,6319,7680,99
927,10905,783,99
928,10956,9907,99
929,7498,10350,99
930,4863,6387,99
931,9712,2461,99
932,3985,6387,99
933,11,783,99
934,11872,9446,99
935,10272,3140,99
936,7369,4298,99
937,6440,5746,99
938,4666,1157,99
939,4623,4604,99
940,10889,7438,99
941,8242,8243,99
942,7994,4541,99
943,11730,180,99
944,13703,6387,99
945,9906,9907,99
946,4908,1533,99
947,1527,6844,99
948,317,182,99
949,8371,8423,99
950,8589,5746,99
951,11227,11226,99
952,7702,5746,99
953,9213,1533,99
954,10394,9438,99
955,2980,4425,99
956,10394,3221,99
957,8523,3284,99
958,6947,180,99
959,173,10350,99
960,8321,7429,99
961,7184,9848,99
962,5315,4114,99
963,11549,5746,99
964,10163,3362,99
965,9997,1699,99
966,2462,318,99
967,11872,2682,99
968,11886,8938,99
969,5431,2682,99
970,9213,2979,99
971,11001,9446,99
972,2129,182,99
973,4593,5148,99
974,10394,2757,99
975,9127,1699,99
976,9609,9124,99
977,11227,4604,99
978,1372,4541,99
979,11905,8938,99
980,12681,3196,99
981,11080,3362,99
982,7973,5117,99
983,11901,5068,611
984,2624,6748,624
985,2624,2625,624
986,4809,11053,1139
987,1739,4333,118
988,3239,1924,118
989,3334,4169,118
990,7171,1635,118
991,394,1924,118
992,3624,581,118
993,444,6546,118
994,3276,790,118
995,394,581,118
996,762,6747,118
997,1520,4169,118
998,4526,1591,118
999,444,1025,118
1000,5629,1924,118
1001,5629,6747,118
1002,7171,645,118
1003,10403,4192,118
1004,2073,1144,118
1005,2073,2074,118
1006,1435,3524,118
1007,394,4169,118
1008,3624,395,118
1009,2073,2966,118
1010,1170,1025,118
1011,543,1456,118
1012,1435,2861,118
1013,2637,3436,118
1014,3591,544,118
1015,29,544,118
1016,762,507,118
1017,506,6546,118
1018,1739,569,118
1019,1145,2966,118
1020,3992,2074,118
1021,3591,8779,118
1022,5102,618,118
1023,2225,395,118
1024,1053,8541,118
1025,506,6747,118
1026,2637,507,118
1027,3239,790,118
1028,506,5518,118
1029,494,1456,118
1030,1145,4198,118
1031,1170,581,118
1032,4526,1635,118
1033,4526,544,118
1034,3334,2966,118
1035,1053,4192,118
1036,789,2966,118
1037,444,2966,118
1038,3239,6546,118
1039,1038,1924,118
1040,1739,2966,118
1041,1520,7175,118
1042,1053,7172,118
1043,2225,4198,118
1044,5629,5119,118
1045,3624,4198,118
1046,2225,790,118
1047,1145,6747,118
1048,1053,4005,118
1049,2260,2861,118
1050,543,4192,118
1051,1038,2074,118
1052,8396,28,118
1053,789,507,118
1054,1583,2074,118
1055,4526,8541,118
1056,444,1924,118
1057,3239,4333,118
1058,2073,1039,118
1059,4526,4192,118
1060,3239,6549,118
1061,1053,1591,118
1062,1170,4169,118
1063,10403,7172,118
1064,5102,3274,118
1065,1520,6546,118
1066,11587,138,630
1067,473,138,630
1068,11318,138,630
1069,3295,138,630
1070,9387,138,630
1071,3519,138,630
1072,3667,138,630
1073,8211,138,630
1074,12219,240,121
1075,498,240,121
1076,12659,240,121
1077,13571,240,121
1078,6633,240,121
1079,9745,240,121
1080,3795,240,121
1081,12614,240,121
1082,12739,240,121
1083,11786,240,121
1084,11682,240,121
1085,3262,240,121
1086,11546,240,121
1087,6089,240,121
1088,13593,240,121
1089,13174,240,121
1090,1724,240,121
1091,13168,240,121
1092,13952,240,121
1093,12789,240,121
1094,3983,240,121
1095,3192,240,121
1096,12318,240,121
1097,4137,240,121
1098,13419,240,121
1099,11134,240,121
1100,12577,240,121
1101,3904,240,121
1102,14048,240,121
1103,8002,240,121
1104,2490,240,121
1105,2819,240,121
1106,10653,240,121
1107,11890,240,121
1108,12372,240,121
1109,8735,240,121
1110,8982,240,121
1111,9144,240,121
1112,13430,240,121
1113,4424,240,121
1114,10608,240,121
1115,10703,240,121
1116,8157,240,121
1117,6908,240,121
1118,5436,240,121
1119,14015,240,121
1120,11143,240,121
1121,7129,240,121
1122,12092,240,121
1123,11680,240,121
1124,2026,240,121
1125,6926,240,121
1126,10605,240,121
1127,12091,240,121
1128,13340,240,121
1129,12513,240,121
1130,12458,240,121
1131,6540,240,121
1132,10299,240,121
1133,7467,240,121
1134,12970,240,121
1135,10230,240,121
1136,11964,240,121
1137,12791,240,121
1138,2506,240,121
1139,8981,240,121
1140,2353,240,121
1141,4729,240,121
1142,9762,240,121
1143,2007,240,121
1144,13366,240,121
1145,10382,240,121
1146,719,240,121
1147,5754,240,121
1148,4552,240,121
1149,2317,240,121
1150,13378,240,121
1151,14326,240,121
1152,3903,240,121
1153,13329,240,121
1154,7698,240,121
1155,8216,240,121
1156,12063,240,121
1157,9622,240,121
1158,9342,240,121
1159,13231,240,121
1160,4307,240,121
1161,1445,240,121
1162,8437,240,121
1163,10320,240,121
1164,14532,240,121
1165,8340,240,121
1166,3177,17,639
1167,1699,9,639
1168,6318,174,639
1169,9446,17,639
1170,9228,174,639
1171,3082,9,639
1172,7460,9,639
1173,9678,10,639
1174,11226,17,639
1175,4541,17,642
1176,4382,17,642
1177,6746,17,642
1178,3284,9,642
1179,4114,17,642
1180,1533,174,642
1181,9287,138,141
1182,8002,138,141
1183,718,138,141
1184,13313,138,141
1185,3796,138,141
1186,13249,138,141
1187,11467,138,141
1188,8476,138,141
1189,9428,138,141
1190,3897,138,141
1191,14255,138,141
1192,9065,138,141
1193,2522,138,141
1194,13677,138,141
1195,4594,138,141
1196,11578,138,141
1197,11106,138,141
1198,12521,138,141
1199,12241,138,141
1200,10891,138,141
1201,12288,138,141
1202,13905,138,141
1203,8968,138,141
1204,13498,138,141
1205,14132,138,141
1206,9723,138,141
1207,3316,138,141
1208,10240,138,141
1209,7450,138,141
1210,11228,138,141
1211,5461,138,141
1212,10433,138,141
1213,9651,138,141
1214,7246,138,141
1215,10731,138,141
1216,8782,138,141
1217,13088,138,141
1218,7886,138,141
1219,3637,138,141
1220,8475,138,141
1221,11889,138,141
1222,5814,138,141
1223,12773,138,141
1224,11451,138,141
1225,341,138,141
1226,10944,138,141
1227,11997,138,141
1228,11842,138,141
1229,4843,4843,149
1230,4142,4142,149
1231,11216,11216,149
1232,9844,9844,149
1233,4544,4544,149
1234,5288,5288,149
1235,3117,3117,149
1236,8381,8381,149
1237,5788,5788,149
1238,8684,8684,149
1239,2671,2671,149
1240,13805,13805,149
1241,524,524,149
1242,13195,13195,149
1243,9794,9794,149
1244,13272,13272,149
1245,8037,8037,149
1246,7135,7135,149
1247,5054,5054,149
1248,7954,7954,149
1249,7341,7341,149
1250,4036,4036,149
1251,8858,8858,149
1252,5248,5248,149
1253,11463,11463,149
1254,11988,11988,149
1255,6758,6758,149
1256,10638,10638,149
1257,13791,13791,149
1258,5378,5378,149
1259,4207,4207,149
1260,4587,4587,149
1261,9173,9173,149
1262,6650,6650,149
1263,12495,12495,149
1264,5106,5106,149
1265,3099,3099,149
1266,6431,6431,149
1267,4422,4422,149
1268,10140,10140,149
1269,1155,1155,149
1270,1389,1389,149
1271,4094,4094,149
1272,13581,13581,149
1273,5143,5143,149
1274,5257,5257,149
1275,8438,8438,149
1276,11000,11000,149
1277,3355,3355,149
1278,7847,7847,149
1279,7670,7670,149
1280,9629,9629,149
1281,6656,6656,149
1282,489,489,149
1283,12660,12660,149
1284,195,195,149
1285,8055,8055,149
1286,12434,12434,149
1287,8318,8318,149
1288,6186,6186,149
1289,6121,6121,149
1290,11336,11336,149
1291,9611,9611,149
1292,5280,5280,149
1293,4687,4687,149
1294,9653,9653,149
1295,2848,2848,149
1296,8664,8664,149
1297,3105,1274,151
1298,441,104,151
1299,6963,604,151
1300,5880,2482,151
1301,7957,146,151
1302,587,1556,151
1303,5909,604,151
1304,8064,1280,151
1305,3076,988,151
1306,2721,104,151
1307,7843,104,151
1308,1906,4491,151
1309,4253,2482,151
1310,2101,988,151
1311,3728,1280,151
1312,8942,4491,151
1313,6393,1660,151
1314,2101,959,151
1315,4274,1274,151
1316,6929,146,151
1317,8073,1274,151
1318,5880,146,151
1319,3076,1280,151
1320,587,1280,151
1321,3728,6543,151
1322,8064,169,151
1323,8942,988,151
1324,1657,1280,151
1325,1279,4491,151
1326,8064,604,151
1327,1557,1556,151
1328,12636,2482,151
1329,3105,4491,151
1330,1693,169,151
1331,603,951,151
1332,2700,1556,151
1333,11079,1274,151
1334,6300,1660,151
1335,603,2482,151
1336,6775,169,151
1337,6707,1556,151
1338,8942,1660,151
1339,105,988,151
1340,6393,951,151
1341,5880,1556,151
1342,1198,988,151
1343,3193,2482,151
1344,12226,4431,151
1345,6929,951,151
1346,6393,6543,151
1347,1906,6543,151
1348,6393,604,151
1349,441,1660,151
1350,1906,1280,151
1351,6300,2482,151
1352,6393,959,151
1353,1906,4470,151
1354,8298,1274,151
1355,3193,959,151
1356,6331,2482,151
1357,1013,1660,151
1358,984,4491,151
1359,17,11226,665
1360,9,8938,665
1361,17,8356,665
1362,9,9445,665
1363,9,1830,665
1364,9,318,665
1365,17,5316,665
1366,17,3196,665
1367,10,1352,665
1368,9,8423,665
1369,12975,12975,671
1370,10464,10464,671
1371,12207,12207,671
1372,5185,9176,678
1373,2566,13863,1190
1374,6039,17,680
1375,5746,17,680
1376,2757,9,680
1377,3877,17,680
1378,8938,10,680
1379,9458,17,680
1380,3221,17,680
1381,1352,10,680
1382,1420,174,680
1383,9438,9,680
1384,2682,10,680
1385,4665,17,680
1386,8938,9,680
1387,6387,9,680
1388,1527,9,171
1389,8292,10,171
1390,5856,9,171
1391,5510,9,171
1392,5290,9,171
1393,4458,9,171
1394,12707,9,171
1395,11905,174,171
1396,5671,9,171
1397,7994,9,171
1398,11614,10,171
1399,12316,174,171
1400,8292,17,171
1401,3015,9,171
1402,6626,10,171
1403,13817,17,171
1404,6147,9,171
1405,11580,10,171
1406,9913,17,171
1407,8146,174,171
1408,5972,17,171
1409,7174,9,171
1410,2783,17,171
1411,10303,10,171
1412,5666,174,171
1413,12387,9,171
1414,13178,10,171
1415,14211,17,171
1416,1148,17,171
1417,8923,10,171
1418,9741,174,171
1419,7455,9,171
1420,6927,174,171
1421,7910,10,171
1422,13023,10,171
1423,11292,17,171
1424,10108,10,171
1425,7062,17,171
1426,13341,10,171
1427,7487,174,171
1428,4324,10,171
1429,1663,9,171
1430,10440,174,171
1431,4007,10,171
1432,7446,174,171
1433,568,10,171
1434,8669,10,171
1435,5671,174,171
1436,8044,10,171
1437,13087,174,171
1438,7092,174,171
1439,12705,9,171
1440,5493,10,171
1441,4715,10,171
1442,2320,10,171
1443,12401,174,171
1444,4052,9,171
1445,2679,174,171
1446,3534,10,171
1447,1154,17,171
1448,11872,10,171
1449,516,174,171
1450,11117,9,171
1451,10939,10,171
1452,12578,10,171
1453,11380,174,171
1454,8520,9,171
1455,7257,174,171
1456,9127,17,171
1457,12882,10,171
1458,4627,10,171
1459,1206,9,171
1460,7149,10,171
1461,9679,174,171
1462,9683,17,171
1463,11554,10,171
1464,12881,174,171
1465,4958,9,171
1466,10661,174,171
1467,5377,174,171
