,h,t,r
2136,2981,58,84
2140,371,443,20
2156,3002,983,294
2157,3003,214,73
2166,3015,879,191
2168,3017,251,21
2176,3025,43,21
2181,64,2028,119
2184,165,214,73
2194,3039,828,17
2205,3054,3055,379
2210,3062,58,48
2238,3092,214,73
2262,1454,58,20
2266,3115,3116,84
2273,3121,2878,368
2274,3122,3123,20
2287,2921,3138,21
2288,3139,35,17
2289,3140,3141,387
2302,3154,3155,123
2312,3166,706,84
2321,2678,635,20
2345,3203,214,73
2348,3205,2254,48
2352,3210,214,73
2355,3213,214,73
2378,3240,3241,294
2379,2200,278,20
2380,2777,3242,20
2400,3269,3270,153
2421,1559,2028,119
2422,3295,3296,154
2424,1773,706,84
2437,1296,214,73
2510,3394,2309,20
2511,3395,879,109
2519,3404,2216,405
2535,3419,138,56
2593,2922,3472,123
2599,3481,1929,48
2601,3482,3483,197
2626,3515,3516,235
2640,3530,58,84
2645,1382,251,200
2676,116,635,48
2685,3582,2915,119
2691,150,176,20
2704,2921,1688,20
2709,526,986,21
2712,690,638,73
2727,875,3626,123
2746,3646,3647,20
2747,3648,657,62
2757,2034,3660,123
2759,3662,3663,379
2766,3559,58,422
2795,3697,1043,20
2797,1913,638,73
2805,3706,118,20
2831,3735,251,200
2836,3127,35,17
2847,1613,3751,153
2861,3764,2114,20
2878,3468,1063,20
2882,3779,3780,119
2896,1999,3795,119
2902,3803,3804,20
2930,3834,58,48
2932,3836,58,84
2935,3838,3839,20
2941,3844,2882,153
2978,3880,214,73
2983,1068,3882,34
2985,1298,111,20
2987,3885,1732,20
3001,3899,638,73
3018,3915,214,73
3019,3132,3916,153
3020,3917,118,20
3033,3929,3930,281
3049,3944,504,84
3051,396,706,84
3069,1183,214,73
3086,426,138,107
3090,3982,3983,119
3097,3986,58,445
3106,3994,474,127
3117,534,58,84
3142,4034,58,20
3150,4038,4039,34
3175,1779,35,17
3177,4055,372,20
3190,3597,58,20
3193,1795,4069,453
3197,2150,41,20
3203,4079,214,73
3220,4099,58,48
3223,4103,58,48
3225,601,1304,445
3226,1382,214,73
3232,887,4110,123
3261,4141,58,84
3263,664,176,20
3269,4149,638,73
3283,2678,1732,20
3288,4167,4168,62
3290,1513,635,306
3330,505,58,20
3352,4219,214,459
3362,2776,4226,20
3373,4240,474,127
3405,4269,3116,84
3415,4278,2845,325
3429,3154,4288,123
3441,1604,2114,20
3445,4302,140,20
3451,4306,138,258
3463,3723,3279,20
3468,4316,4317,231
3473,4322,214,73
3491,3994,986,461
3511,4353,214,73
3516,4047,214,73
3526,122,4365,119
3530,4368,1034,20
3537,4375,3319,464
3555,4386,58,84
3576,4403,635,84
3619,4437,111,20
3621,1050,1634,20
3622,4439,2882,153
3624,4441,251,21
3626,4177,138,107
3656,1120,58,48
3669,4477,1358,20
3685,4493,2882,153
3695,4501,3804,20
3697,4502,1155,145
3704,2172,3916,153
3764,3153,706,84
3770,4567,4568,154
3772,4571,1732,20
3785,4582,443,20
3815,4609,138,258
3824,4617,2882,153
3841,4627,4628,191
3845,4630,1063,20
3854,4638,138,56
3866,4647,986,21
3872,1769,4653,281
3881,4662,58,48
3891,935,465,20
3893,3468,2603,20
3894,2582,58,20
3896,4674,138,56
3907,4684,4685,20
3914,4690,4691,222
3925,4701,214,73
3938,4716,4717,154
3942,3468,372,20
3943,4722,1043,20
3945,4723,1068,317
3949,4728,58,20
3954,4731,214,73
3958,1856,4735,281
3961,4739,247,20
3964,1185,4743,21
3974,2886,4748,20
3979,4752,2882,153
3984,36,4759,350
3985,4760,4761,476
3993,4769,58,84
4003,2652,2882,153
4013,1250,58,422
4015,2929,35,17
4027,3066,58,422
4034,4795,4796,109
4056,2168,214,73
4089,4839,2028,62
4108,4855,638,73
4110,1532,4856,191
4112,3294,251,200
4143,2730,1043,84
4147,3681,3040,21
4148,19,251,21
4150,4889,504,20
4152,4891,58,84
4156,4323,3632,21
4157,4893,635,84
4160,4411,635,20
4179,4914,251,21
4182,4916,4545,119
4192,2488,214,73
4203,2731,397,350
4216,237,58,84
4232,4821,4952,197
4240,4956,1785,445
4244,4959,4960,488
4252,2234,397,119
4264,4976,58,84
4271,4982,1732,20
4288,4998,58,84
4292,5000,5001,281
4295,3677,138,107
4296,5004,214,73
4298,5005,2028,349
4305,5012,251,21
4317,448,138,56
4328,4238,251,21
4331,5033,35,17
4336,4699,638,73
4345,5043,3138,21
4347,521,314,20
4363,5054,4796,109
4369,3537,58,20
4391,5078,278,20
4393,5079,5080,119
4437,4630,111,20
4444,834,58,20
4455,1808,2778,20
4457,5131,314,20
4473,5143,2878,368
4481,1599,58,84
4503,4263,5165,501
4524,5184,2254,20
4529,1331,635,20
4543,5195,251,21
4545,5197,5198,153
4546,1454,58,48
4551,3175,111,20
4553,5202,5203,191
4586,5230,2882,153
4610,4482,58,84
4611,5247,635,84
4621,5257,1544,109
4626,5259,58,48
4665,3561,35,17
4693,5305,251,501
4696,2734,879,191
4707,5314,247,48
4744,3584,2146,20
4747,5028,140,20
4763,5351,3647,20
4783,5367,58,84
4811,5388,138,56
4812,5389,465,20
4818,5393,58,84
4824,5352,214,73
4825,5399,5400,464
4859,5422,214,73
4863,5424,214,73
4868,5427,504,20
4880,5433,138,107
4883,3064,4713,119
4885,2039,1034,20
4893,5441,2878,368
4897,4367,638,73
4908,5452,2151,20
4916,5460,2603,20
4926,5467,58,48
4929,5469,3138,21
4956,218,138,107
4986,421,546,20
5008,5519,278,20
5021,3377,118,20
5032,5395,5535,281
5066,4911,251,21
5069,5553,214,73
5071,5555,58,48
5072,3612,352,109
5073,5556,3116,84
5106,4325,4148,20
5121,5596,58,84
5124,5598,138,258
5135,5606,138,519
5140,5607,1785,84
5149,5613,761,20
5155,636,638,73
5175,1715,714,20
5190,4098,3123,20
5193,5652,247,20
5203,1874,138,56
5205,1870,35,17
5214,5663,1043,20
5220,1066,58,48
5264,5692,2151,20
5271,4179,1043,84
5278,3000,214,73
5303,5716,1043,48
5305,2382,635,306
5330,36,118,350
5334,3354,635,48
5337,4483,251,89
5343,5744,5745,281
5346,5750,214,73
5353,5532,443,20
5359,5761,377,154
5362,5764,2044,294
5367,924,41,20
5394,5788,2878,368
5420,5803,1043,48
5423,1014,138,524
5442,4945,58,20
5445,5821,251,89
5460,5032,5831,525
5471,4210,2146,20
5472,4469,35,17
5488,5856,879,191
5507,5867,58,48
5511,1615,5870,145
5523,1343,706,119
5528,4541,214,73
5530,5884,58,20
5553,5899,635,84
5554,4829,3916,153
5557,1687,176,20
5564,5904,176,84
5576,5915,58,48
5578,5917,1945,34
5587,1397,2328,20
5594,5930,5931,123
5597,5934,214,73
5605,3538,635,20
5643,5962,638,73
5655,928,58,20
5675,5984,214,73
5693,5996,5997,119
5696,5999,638,73
5726,6019,2407,154
5735,6026,6027,530
5776,6061,2146,20
5789,6069,58,84
5790,6070,58,48
5797,6072,214,73
5810,468,58,20
5822,2528,35,17
5849,4571,1785,20
5853,6101,214,73
5855,1808,828,17
5859,4765,35,17
5864,6108,3171,119
5866,6109,251,21
5873,5012,58,20
5898,6131,6132,119
5901,6134,251,21
5904,6136,118,20
5906,5519,4743,21
5936,2366,278,20
5946,6160,58,84
5947,6161,58,84
5949,3305,58,20
5951,2930,474,222
5973,5803,1732,20
5981,6186,879,109
6012,4477,372,20
6019,2166,2028,119
6039,4292,874,476
6045,6224,1043,20
6046,6225,58,48
6057,6224,761,20
6063,824,2082,20
6086,6250,6251,21
6095,6257,140,20
6112,6268,6269,546
6119,3529,138,56
6165,2315,58,48
6172,4427,6307,550
6202,6332,214,73
6203,6333,5748,62
6220,1645,6307,550
6243,6358,2151,20
6256,3914,140,84
6265,793,58,20
6268,6371,58,84
6273,6375,251,21
6296,1512,3916,153
6320,6401,6402,109
6329,6409,58,84
6360,2467,214,73
6374,5549,214,73
6386,6442,154,119
6388,36,6444,350
6389,5940,58,48
6396,2044,3882,34
6410,6453,214,73
6422,331,138,258
6423,6461,6462,21
6432,3454,1034,20
6443,1340,176,20
6448,6480,229,154
6450,5097,635,84
6462,1366,58,48
6474,6489,635,306
6478,2947,278,84
6487,93,3279,20
6516,2287,251,89
6521,4993,4614,153
6526,6157,111,20
6529,6520,251,200
6531,5185,138,387
6546,6136,251,21
6556,6536,214,73
6558,6537,1275,20
6559,6538,58,20
6562,428,638,73
6601,5033,1732,20
6602,3928,35,17
6610,3867,251,21
6622,6579,214,73
6626,4098,6581,20
6630,6583,138,56
6650,504,138,524
6657,6598,2216,20
6680,517,138,107
6699,3243,58,84
6711,6629,35,17
6717,1259,138,56
6734,976,2146,20
6736,6640,920,62
6741,4948,638,73
6743,2921,3341,20
6761,829,1785,84
6792,6672,58,20
6799,6674,58,84
6801,903,6675,119
6803,6677,214,73
6804,6678,58,20
6805,6679,6274,145
6822,6685,49,119
6839,1454,1063,20
6846,367,251,21
6852,1658,6702,154
6874,6716,35,17
6897,1082,58,84
6899,4550,140,20
6909,6737,49,294
6910,1492,138,524
6915,6741,58,48
6931,4133,214,73
6932,5028,247,20
6983,3305,35,17
6988,6782,214,73
6992,6784,251,21
7018,2313,58,20
7029,6801,1542,567
7040,6808,635,84
7058,915,3358,145
7083,6830,138,258
7114,6850,251,200
7121,5663,41,20
7122,2374,251,200
7143,3941,2028,62
7147,660,58,84
7152,6870,58,84
7177,6884,6885,62
7188,4380,138,524
7191,6896,58,48
7198,2711,58,84
7199,5351,58,20
7201,6902,58,20
7204,6905,138,56
7208,6909,6910,235
7211,6911,58,84
7223,6919,1774,119
7225,711,214,73
7226,6920,6921,145
7233,36,6925,350
7240,3631,1043,20
7247,3576,2146,20
7268,6941,138,56
7273,5635,2882,153
7278,6948,6949,21
7284,6417,4069,453
7291,6958,251,21
7293,6959,6960,281
7298,3296,6027,530
7304,6871,2882,153
7311,6306,138,107
7321,94,3839,20
7324,5451,504,20
7347,6370,58,48
7350,2401,251,89
7352,6989,2028,119
7356,6992,879,191
7405,7011,251,21
7409,1074,251,21
7422,4105,214,73
7435,7024,657,20
7439,5692,1304,20
7445,2974,7029,317
7455,7036,7037,154
7465,7044,1542,567
7470,3811,2254,20
7476,7051,5717,566
7477,1315,3647,20
7494,7061,638,73
7501,6157,2328,20
7502,7064,214,73
7503,3428,58,20
7517,2737,58,445
7519,7071,3788,294
7522,2538,278,20
7528,7075,1526,579
7539,7083,1068,294
7540,978,138,56
7546,658,3751,34
7557,7093,7094,200
7591,4722,1358,20
7599,7116,3632,21
7615,7124,1014,20
7624,448,251,21
7625,888,58,84
7678,1229,3839,20
7699,3377,3839,20
7703,2128,7166,178
7704,6080,58,84
7705,5854,58,84
7712,7170,1544,191
7757,7202,58,20
7760,3029,58,48
7782,7213,4628,191
7792,4032,58,84
7801,7224,58,84
7808,7229,3252,567
7814,2611,7232,62
7818,1779,1929,20
7841,5033,3839,20
7864,5971,657,476
7897,5427,58,20
7899,7276,1358,20
7902,7280,706,84
7904,1913,138,107
7910,2504,251,21
7913,7287,58,48
7952,440,1785,20
7958,150,3804,20
7976,5143,138,258
7988,6731,118,84
8000,1671,3138,89
8001,1694,714,20
8008,7332,41,20
8012,7334,828,17
8023,7341,7342,109
8073,7361,5203,191
8097,4199,3279,20
8102,124,638,73
8115,40,1304,20
8120,887,7385,123
8131,5941,58,48
8151,2797,2516,334
8161,7410,7411,281
8168,2215,6637,20
8169,7414,111,445
8179,7424,7425,62
8181,3928,6637,20
8183,4366,58,422
8198,7119,638,73
8217,7440,214,73
8228,298,706,84
8233,690,251,200
8236,4411,1043,20
8238,7447,657,62
8246,93,482,20
8250,7452,138,524
8261,7457,35,17
8335,4949,296,119
8357,5744,7513,281
8399,122,706,84
8402,7409,474,127
8403,3539,278,119
8407,2039,41,20
8409,3536,638,73
8414,5715,251,200
8424,1532,5203,191
8462,7559,2082,20
8469,4399,638,73
8471,1695,58,84
8478,7569,4496,119
8484,7571,1929,20
8504,5883,58,48
8531,1856,7591,281
8540,3847,7595,178
8554,6588,214,73
8573,7410,2725,281
8582,6109,714,20
8603,3398,214,73
8613,36,7625,350
8623,3408,111,20
8639,7636,3116,84
8652,7642,75,603
8671,4804,2151,20
8690,313,2254,20
8693,365,58,48
8720,887,6401,123
8726,281,638,73
8730,3493,138,107
8733,6563,58,20
8742,448,482,20
8748,7677,214,73
8751,7678,3663,501
8753,1838,2812,119
8760,7679,214,73
8762,73,2028,62
8801,1055,1785,48
8810,647,58,48
8815,5995,3804,20
8825,3946,714,20
8871,3687,7721,349
8894,2313,7732,21
8914,1332,138,56
8927,1356,138,519
8933,7125,2082,20
8951,7750,3141,567
8953,5708,635,20
8955,2595,1358,20
8965,3020,138,258
8969,7755,3341,20
8975,721,443,317
8990,7332,176,20
8997,6257,3381,20
9003,4042,214,73
9012,3431,3804,20
9038,1159,58,84
9052,7793,1043,20
9056,7794,35,17
9071,2798,58,48
9089,2727,1634,20
9099,802,2778,20
9117,7817,6331,609
9122,7819,214,73
9143,3377,2114,20
9158,55,657,119
9190,2961,58,84
9202,40,2114,20
9222,7862,214,73
9232,7866,6637,20
9239,5474,1014,20
9241,7870,58,84
9243,2976,314,20
9248,2762,7732,615
9256,7878,75,62
9268,7884,214,73
9270,3583,58,20
9271,4147,638,73
9280,4585,7890,501
9290,36,4464,350
9299,7898,58,20
9300,7899,1410,84
9333,7075,7917,579
9338,2150,140,20
9346,6560,138,56
9348,421,58,20
9350,6758,138,258
9353,7926,7927,109
9354,1185,251,21
9368,7408,638,73
9373,6363,714,20
9393,7948,176,84
9394,5076,1792,84
9399,7950,214,73
9421,226,635,48
9427,2905,111,20
9430,7965,314,20
9457,7974,879,109
9460,3867,2906,20
9461,2976,140,20
9465,7976,7977,62
9487,3124,3839,48
9500,3410,251,200
9501,6224,2146,20
9506,6469,2028,62
9510,7663,2547,119
9550,3966,58,48
9559,8006,6402,191
9562,8007,251,461
9580,7434,2018,119
9589,8018,58,20
9601,824,635,445
9602,8020,2882,153
9603,8021,5032,379
9619,8027,706,84
9622,6095,214,73
9626,8028,2882,153
9662,2846,2725,281
9665,7577,314,20
9672,8048,8049,154
9675,5761,879,109
9687,8057,58,187
9692,1020,1014,20
9716,3565,138,107
9725,809,8077,461
9736,7570,1043,48
9744,8082,214,73
9745,8083,3123,20
9765,38,58,48
9768,2607,214,73
9793,1083,986,21
9794,1988,1798,119
9795,2762,2328,20
9797,3957,58,20
9803,4987,3663,21
9812,5971,314,20
9841,4762,138,56
9847,7493,111,20
9858,6112,2328,317
9862,2638,58,20
9878,3169,2882,153
9892,5000,8134,281
9902,3803,1410,20
9905,8140,8141,281
9908,1338,2561,119
9929,8153,278,48
9934,7131,4713,294
9936,5597,8156,222
9974,7649,3123,20
9983,5884,251,21
9990,5521,657,119
10006,5301,657,62
10022,8190,635,119
10025,1417,8191,123
10027,6316,251,21
10035,1633,4748,20
10036,2266,214,73
10071,6755,3839,20
10087,3127,3341,20
10089,7622,1563,20
10115,4302,35,17
10139,6300,4288,123
10147,2843,4069,453
10151,1549,58,20
10172,4849,1358,20
10192,8269,4288,123
10254,1962,1034,20
10258,858,251,461
10262,8296,8297,281
10289,8307,2328,20
10291,452,35,17
10300,8312,2146,20
10313,8267,2254,20
10316,7612,1929,20
10327,8324,103,17
10347,8335,3116,84
10354,8210,8337,281
10383,3764,314,20
10389,3317,58,84
10413,1255,58,20
10430,6157,1358,20
10438,3957,247,20
10469,553,138,56
10473,4012,251,21
10474,8372,1304,20
10476,2324,5527,62
10490,236,2778,20
10507,1567,138,56
10516,8390,58,48
10523,801,991,123
10525,8397,58,84
10540,4374,35,17
10549,8373,35,17
10558,8407,372,20
10562,1784,1732,20
10572,8413,638,73
10580,887,8419,123
10590,2847,3895,546
10600,7476,8426,643
10613,8433,176,20
10624,2589,1945,34
10637,905,8446,235
10653,8453,1358,20
10666,5225,8457,281
10673,3471,8460,119
10675,6716,58,20
10687,2842,1929,20
10695,6362,1785,20
10703,6629,58,48
10720,6941,3708,21
10734,8486,2317,317
10752,8493,443,20
10792,2500,58,48
10793,6920,8435,145
10802,5643,2082,20
10806,6212,1798,119
10809,5615,58,84
10811,2758,251,200
10816,383,138,56
10828,5742,214,73
10835,6118,58,422
10836,8524,214,73
10842,1050,41,20
10892,8544,8545,119
10901,8551,58,84
10904,8553,3663,21
10913,7289,8560,84
10930,4757,118,20
10967,1410,8584,34
10983,1552,214,73
10985,8592,3212,20
10988,8594,879,109
10993,2473,1043,48
10999,8599,8246,84
11030,7766,58,48
11048,6483,3138,21
11063,5337,251,200
11078,4981,58,48
11088,8631,251,21
11090,8423,214,73
11097,2137,2082,20
11098,5517,138,107
11118,6136,247,20
11119,6263,635,48
11128,8642,2744,200
11130,2371,404,145
11132,7622,3477,20
11160,3677,251,200
11162,5779,58,84
11166,3652,8656,119
11194,7874,214,73
11225,3946,635,20
11235,7468,1358,20
11238,6838,638,73
11268,3257,111,20
11283,2030,138,107
11287,168,111,20
11290,3431,635,20
11292,3287,8696,119
11321,802,3647,20
11361,5427,3341,20
11370,7410,8720,281
11371,6961,138,56
11374,7857,111,20
11393,8733,111,20
11395,1642,1732,20
11398,8737,1410,20
11399,2905,278,20
11415,622,214,73
11429,7012,138,56
11443,8753,1304,20
11445,8754,657,119
11462,4207,1508,379
11506,3971,8775,119
11523,8783,251,655
11547,2657,251,200
11555,8796,58,84
11573,8807,214,73
11575,5000,8808,281
11579,2203,58,20
11594,1873,3138,21
11623,2800,8821,476
11629,8822,2151,20
11631,8824,3663,21
11638,6433,2509,316
11655,5722,2882,153
11661,1340,4748,20
11666,8836,3647,20
11668,939,879,191
11670,5828,58,48
11703,3499,239,119
11717,3216,58,84
11732,5596,4168,62
11733,1769,7591,281
11755,371,3279,20
11765,8709,4337,119
11788,1264,8875,530
11820,2366,58,20
11822,4806,2407,119
11833,6078,635,84
11837,928,138,56
11841,495,251,662
11859,6815,6949,21
11879,5167,58,48
11887,5381,251,461
11905,3454,635,20
11908,1195,714,445
11909,3402,750,119
11926,2776,2254,20
11930,3098,638,73
11947,4406,2028,119
11951,7424,214,73
11954,5000,8337,281
11955,1606,58,84
11992,7468,443,20
12000,1798,4039,34
12009,4278,5483,154
12024,3509,635,84
12045,5162,8952,235
12073,8458,583,119
12074,2326,138,56
12095,2137,3839,20
12100,2237,3279,20
12104,3584,1358,20
12105,3394,3279,20
12106,1727,58,20
12126,8977,58,84
12128,1761,111,20
12147,3684,58,84
12159,8987,761,20
12165,1397,546,20
12169,8991,879,109
12183,4650,214,73
12202,8700,58,48
12204,5167,1785,20
12211,3230,58,84
12212,9007,214,73
12233,6872,3123,20
12244,9019,251,655
12250,9021,138,56
12260,9025,443,422
12262,727,58,84
12275,6374,58,20
12306,2106,482,20
12311,2399,58,84
12315,2203,3123,20
12329,8435,9049,316
12332,6344,58,84
12368,9068,9069,123
12379,7058,251,615
12388,6745,4628,191
12389,9074,35,17
12400,963,214,73
12412,9083,251,200
12427,1761,635,20
12429,2962,35,17
12430,9087,138,524
12436,4407,5752,321
12449,3127,41,20
12453,9094,138,258
12457,7163,3632,21
12522,269,913,464
12524,8973,251,200
12545,768,251,21
12553,6224,8821,476
12556,440,504,20
12594,8800,482,20
12638,2917,138,56
12642,9140,251,461
12653,5686,638,73
12683,321,35,17
12691,3345,1410,20
12692,4261,2309,20
12706,1715,546,20
12731,3153,214,73
12735,4172,214,73
12736,4835,2882,153
12737,8768,635,20
12744,4292,635,20
12748,6339,251,21
12759,1718,1746,119
12764,9177,58,84
12774,9182,4148,20
12778,6308,4148,20
12781,9184,58,84
12799,6575,41,20
12809,1894,214,73
12862,5707,3939,119
12878,3364,35,17
12880,9210,58,48
12905,9216,657,154
12913,1331,546,20
12920,2465,657,119
12979,8650,2028,62
13020,7559,1732,20
13031,872,3116,84
13035,2663,1358,20
13039,3002,2878,368
13045,9253,5165,501
13049,8491,214,73
13052,2905,2151,20
13061,4822,7989,145
13072,5168,58,84
13090,4210,314,20
13094,9263,214,73
13113,2189,314,20
13115,84,583,119
13138,1519,443,20
13153,8308,251,21
13158,9278,58,84
13167,1998,1043,84
13182,611,58,48
13207,861,761,20
13208,9293,2882,153
13215,8785,7591,281
13237,1020,111,20
13243,150,2216,20
13245,4889,3242,20
13248,924,2082,20
13250,1397,3804,20
13256,1326,214,73
13260,5184,1381,20
13264,1519,482,20
13283,6678,138,56
13316,9325,3116,84
13373,5473,9342,119
13391,3072,58,84
13455,1068,7611,34
13466,6959,9375,281
13470,9378,879,191
13492,2800,1732,20
13502,9387,49,294
13514,8908,118,84
13518,4292,714,20
13522,4435,138,56
13544,9398,4336,119
13547,93,3242,20
13556,6003,443,20
13564,1289,3632,21
13569,8912,9406,109
13580,2768,1785,84
13586,1717,2574,62
13599,1241,5165,501
13600,8024,278,422
13610,6257,714,20
13643,8307,2254,20
13645,5751,9429,109
13651,2962,247,48
13661,9432,314,20
13670,9435,635,306
13678,1454,3341,20
13717,8140,9442,281
13736,861,4748,20
13751,9324,4148,48
13772,9460,251,89
13781,5184,35,17
13789,3343,138,519
13829,6872,58,48
13834,9477,2028,119
13847,5803,140,20
13853,924,3123,20
13862,5995,2254,20
13866,9485,7611,153
13888,3840,4628,191
13889,9492,1034,20
13892,1873,35,17
13904,1020,372,20
13908,3803,35,17
13925,785,6490,119
13928,1541,1542,567
13930,6483,138,56
13932,4205,1034,20
13937,935,314,20
13952,6817,58,48
13962,2905,35,17
13965,9515,214,73
13976,3257,3123,20
13988,5563,7611,153
13999,1469,1542,56
14003,6468,3341,20
14008,6575,1043,20
14012,3684,9523,153
14059,6963,1389,123
14091,2440,138,56
14093,3723,372,20
14096,5474,4748,20
14107,6296,4614,153
14126,1992,214,73
14160,1761,2151,20
14162,2106,1063,20
14168,9562,4796,109
14178,1382,58,84
14180,4527,1304,20
14196,7849,214,73
14197,1062,2309,20
14203,9572,2882,153
14210,8657,251,21
14215,8075,214,73
14227,298,504,84
14228,6535,58,84
14272,8296,9594,281
14274,9595,4628,109
14281,5395,9597,281
14284,3149,3828,119
14296,2786,138,56
14298,6829,176,84
14313,94,138,56
14330,1229,2254,20
14339,9610,1043,20
14352,2727,635,20
14420,5971,3647,20
14427,1114,4952,197
14447,1127,214,73
14481,9646,8053,62
14512,1410,9657,34
14538,5348,58,20
14543,1013,3358,123
14549,8140,9663,281
14571,263,138,519
14572,9664,635,48
14581,8800,2114,20
14595,150,504,20
14616,7783,35,17
14626,9675,2028,62
14636,4278,6490,154
14643,7711,7953,349
14647,8921,251,21
14721,5114,35,17
14735,2080,2151,20
14748,9705,1785,48
14752,1784,2114,20
14760,8889,9709,154
14774,5697,214,73
14778,2924,214,73
14789,3651,9721,34
14791,3928,111,20
14800,7125,176,20
14804,4680,214,73
14818,8025,278,84
14833,40,714,20
14835,2376,879,109
14841,1472,3632,21
14870,9732,214,73
14879,2080,118,20
14894,9740,214,73
14935,2842,35,17
14975,647,3279,20
14976,9765,3647,20
14990,130,3123,445
15000,1880,214,73
15019,6872,1304,20
15022,887,5571,123
15031,9774,6420,349
15034,2683,3312,579
15035,4695,214,73
15052,1531,891,119
15060,6667,1688,20
15082,8950,214,73
15091,6930,706,84
15103,3459,35,17
15109,3929,7591,281
15136,8351,35,17
15138,9625,2486,464
15142,7921,635,445
15157,9799,58,84
15163,1710,635,84
15173,3928,327,20
15180,9806,214,73
15184,9808,58,84
15204,1779,2146,20
15218,2776,138,56
15225,5274,9820,21
15231,3002,8164,154
15235,6362,1634,20
15245,6751,138,107
15246,2247,761,20
15254,3867,1929,20
15270,9832,251,200
15274,5990,138,56
15293,1862,4154,119
15298,952,58,48
15304,9842,1148,235
15320,2015,638,73
15349,9854,58,84
15425,1769,9872,281
15433,3228,1381,48
15440,5460,176,20
15447,5145,58,20
15455,2466,2114,20
15468,3635,138,107
15490,2150,2254,20
15492,9885,58,20
15497,3593,214,73
15507,1418,9887,708
15508,4805,138,56
15530,4102,3708,21
15534,4947,58,20
15545,1391,635,20
15552,9901,251,21
15561,1428,35,17
15567,880,1034,20
15568,470,1732,405
15570,3928,278,20
