,h,t,r
1385,9784,214,73
1392,8372,635,20
1400,834,4115,20
1415,5825,251,21
1418,162,138,107
1419,2853,6806,62
1436,1186,214,73
1442,3963,214,73
1465,8594,14350,1096
1469,9239,35,17
1474,1720,278,84
1475,11559,4113,235
1480,981,12473,34
1484,2547,12473,34
1485,13141,352,191
1487,12386,58,422
1499,7777,3342,20
1515,4812,3123,445
1523,4233,251,200
1526,2243,247,20
1527,3434,657,119
1542,8493,2603,20
1549,7056,12757,62
1556,5713,3296,349
1574,13884,1542,567
1575,786,443,20
1576,786,1732,20
1583,2037,58,20
1596,8195,251,21
1601,521,41,20
1602,4331,58,48
1603,4753,706,84
1615,3538,111,20
1633,11041,761,20
1634,11041,111,20
1636,11442,58,48
1642,8737,761,20
1645,3989,138,56
1646,4908,4671,235
1680,10758,635,48
1682,8907,58,84
1694,514,138,107
1701,315,58,84
1707,6162,138,56
1710,6528,251,200
1734,1056,2151,20
1749,4205,2082,20
1763,1506,58,20
1772,1808,2151,20
1776,6308,111,20
1805,2011,214,73
1806,8601,278,187
1816,6264,3279,20
1830,1571,474,222
1840,12195,58,267
1848,4527,635,306
1879,2189,3663,21
1887,1779,138,56
1888,1779,828,17
1897,13415,1732,317
1898,44,2028,119
1918,3471,635,119
1919,3991,214,73
1931,1201,58,20
1937,11107,7580,294
1957,4437,314,20
1973,9432,3123,20
1974,5370,10942,349
1986,699,58,84
2019,10068,9993,119
2040,3299,1432,119
2043,12266,58,48
2064,1437,58,84
2075,14413,3636,95
2078,8993,214,73
2081,6902,1304,20
2119,7539,314,20
2123,6314,9562,123
2125,3431,3123,20
2126,3431,1304,20
2130,9783,12194,501
2135,9765,1381,20
2136,1769,12505,281
2145,6423,251,21
2154,9444,214,73
2163,9754,1034,20
2177,2554,214,73
2193,3127,2107,20
2194,3618,2882,153
2195,5749,251,548
2199,13392,2927,119
2205,12213,638,73
2217,11812,706,84
2232,10012,58,48
2233,11243,6402,191
2256,2538,118,20
2264,2595,1043,20
2279,7131,9406,109
2280,3429,706,84
2294,5806,635,84
2306,9516,1410,48
2326,6425,229,62
2329,36,4003,350
2330,36,1169,350
2331,36,12248,350
2332,36,13700,350
2350,8672,6433,145
2358,4722,58,20
2377,8412,3116,84
2382,12228,3116,84
2390,2699,6770,123
2401,14425,214,73
2409,2737,58,20
2411,12009,251,21
2419,1365,10266,191
2427,2678,1014,20
2446,3863,2028,566
2464,8152,1410,20
2481,8823,138,56
2489,13760,11921,461
2507,7697,214,73
2512,2875,49,1115
2528,12095,2409,62
2530,6559,214,73
2556,3426,35,17
2557,5800,12929,200
2585,890,138,107
2594,835,3123,20
2634,2840,657,154
2635,4849,986,21
2640,7041,12111,21
2680,4097,58,84
2708,3028,58,20
2730,924,504,48
2741,5018,214,73
2756,3928,58,306
2759,3500,1043,48
2768,1106,58,20
2774,4349,1542,56
2777,3047,138,107
2779,5395,3930,281
2806,10156,3123,187
2813,11383,635,84
2816,5655,35,17
2825,5708,111,20
2832,578,35,17
2864,9366,3839,20
2865,3053,2151,20
2866,7853,58,48
2871,6209,2328,20
2888,5902,638,73
2901,10159,9626,119
2903,94,372,20
2907,4662,5624,21
2912,9941,11932,281
2914,6941,1634,20
2917,150,2603,20
2946,8407,1043,48
2954,2021,706,84
2967,5844,58,84
2984,11310,2328,20
3008,6734,58,84
3010,12941,251,21
3020,6997,6027,530
3026,3377,3170,20
3037,11869,118,20
3060,187,635,317
3075,3332,58,48
3082,9933,3798,20
3090,2137,314,20
3099,3811,2146,20
3140,5803,4115,20
3150,774,138,107
3152,935,3477,20
3165,1065,35,17
3199,503,1381,20
3203,1277,138,524
3215,635,3751,34
3229,3062,58,20
3230,3499,638,73
3231,3631,1925,20
3232,1218,58,84
3245,10941,3798,20
3251,13537,4398,154
3265,2497,13308,936
3267,4206,443,20
3270,34,25,20
3279,3576,111,20
3311,5438,891,119
3316,6726,2984,464
3317,3599,251,21
3322,7124,2082,20
3331,12863,140,20
3339,11276,214,73
3359,7909,251,21
3375,1828,3040,21
3377,7732,4004,711
3384,8215,278,187
3391,5980,214,73
3399,2776,1304,20
3413,11290,3846,21
3417,1946,6637,20
3418,1646,706,119
3429,4415,7611,153
3433,834,1492,20
3481,7512,4069,453
3509,2274,12759,119
3510,11062,2151,20
3511,11062,1785,20
3514,1838,1774,119
3530,10857,12690,62
3571,1269,76,153
3575,12273,12600,17
3603,7132,1732,20
3622,5691,58,84
3629,521,635,48
3638,2690,638,73
3641,2373,638,73
3645,10476,214,73
3663,943,138,107
3678,11924,314,20
3683,12102,14703,1213
3686,2697,214,73
3729,2978,251,21
3767,1645,1381,20
3771,7421,714,20
3803,8574,214,73
3893,2052,214,73
3899,7801,9879,548
3912,9918,1925,380
3949,9438,2843,84
3953,10965,58,20
3975,8852,3042,21
3992,5000,7411,281
4006,9182,482,20
4014,10761,3212,20
4023,12758,658,294
4036,2139,138,519
4067,6761,251,21
4083,10594,1063,119
4085,563,1785,48
4090,231,443,84
4117,9285,58,84
4119,8525,251,21
4121,4073,58,84
4135,7539,1785,20
4138,8294,1544,191
4144,1769,11932,281
4146,2017,138,258
4156,9869,138,56
4166,7457,138,56
4178,1020,1034,20
4182,3601,58,84
4191,10505,3839,20
4192,10505,1634,20
4199,674,900,119
4219,93,504,20
4220,93,251,21
4229,5167,41,20
4230,10701,2217,123
4237,10736,251,21
4264,4170,138,766
4266,840,251,21
4268,3646,3381,20
4274,4739,635,306
4278,11504,35,17
4279,461,35,17
4281,8348,58,20
4283,9549,2407,154
4287,4016,138,56
4309,7570,1785,48
4316,1290,12827,231
4322,36,11772,350
4323,36,2094,350
4324,36,9008,350
4325,36,2547,350
4344,4486,314,20
4349,10386,1925,20
4353,6999,35,17
4355,13298,638,73
4361,8733,504,20
4375,7468,3123,20
4379,10201,251,21
4399,8270,986,200
4401,8987,1358,20
4411,6905,11153,476
4414,5364,14565,349
4415,5580,3632,21
4424,880,443,20
4428,11,879,191
4432,10987,706,84
4442,1394,7611,153
4451,7669,397,62
4453,8152,443,20
4463,345,58,20
4499,1715,2151,20
4504,13611,5360,159
4507,1613,75,62
4517,4951,35,17
4525,12864,49,294
4531,6434,58,84
4586,12608,1732,20
4593,399,58,84
4597,10096,251,21
4641,1781,43,21
4643,1346,103,17
4645,797,11447,281
4664,6667,3477,20
4680,8582,278,321
4687,2541,214,73
4703,13172,12815,200
4733,4230,638,73
4817,1604,140,20
4826,1255,58,48
4831,970,3632,21
4836,887,8664,123
4841,94,1688,20
4857,9941,13425,281
4883,2886,2151,20
4900,7597,138,56
4901,3762,76,153
4914,10123,638,73
4915,12184,251,655
4923,421,251,21
4934,13271,58,29
4945,5922,138,56
4968,878,11141,197
4994,8623,41,20
4999,8800,43,21
5013,2113,58,48
5033,5192,58,84
5034,3811,1304,20
5050,7857,12600,17
5081,13842,2744,200
5093,8020,1068,1260
5119,7905,214,73
5136,2106,1043,20
5140,10205,443,48
5166,10522,7591,281
5170,7034,1043,48
5190,4861,2254,20
5197,11299,314,20
5212,13246,465,20
5213,13526,638,73
5231,9699,2241,325
5247,5028,3477,20
5254,1122,7732,21
5275,12026,8053,119
5294,12855,657,154
5313,10063,372,20
5354,3929,1770,281
5360,2126,58,84
5361,9692,6410,21
5364,11100,58,422
5383,7636,8053,62
5390,3723,465,20
5391,5812,138,524
5402,1807,214,73
5408,5025,8176,154
5423,9620,6947,235
5450,12386,251,89
5460,10868,1410,321
5480,4254,251,21
5488,8545,10911,530
5505,4914,443,20
5520,3683,9523,153
5524,5810,2882,153
5531,3575,58,20
5533,3939,8875,530
5541,6959,11858,281
5543,786,58,20
5575,2626,35,17
5608,8737,2114,20
5612,4908,214,459
5614,7422,891,119
5615,11059,638,73
5619,6837,2379,325
5669,2150,3804,20
5680,4500,635,84
5705,6350,2045,119
5712,236,111,20
5731,6308,327,20
5779,1338,214,73
5783,4545,8875,530
5801,3741,138,107
5814,5790,706,84
5820,915,4136,145
5821,7046,13910,154
5848,2052,58,84
5860,2312,10266,109
5862,329,598,34
5880,12088,58,317
5893,9977,3516,235
5901,8030,251,726
5903,7908,3839,48
5948,4608,58,84
5961,5000,10464,281
5962,2470,4628,191
5978,9360,58,48
6007,9753,598,153
6010,6257,761,20
6014,4647,3123,20
6025,8130,12643,464
6038,6557,251,21
6048,1617,372,20
6054,3908,138,56
6058,1298,58,48
6059,1298,3123,20
6064,6899,58,48
6066,7343,2216,20
6074,9407,3839,20
6084,10301,58,48
6097,8364,879,109
6100,8837,35,17
6108,9718,2915,119
6113,4502,710,145
6117,10647,8426,643
6125,3389,58,84
6134,3431,2216,20
6135,7967,214,73
6138,1673,214,73
6143,11983,214,73
6149,11295,13799,62
6156,4229,58,84
6165,7457,635,20
6200,3039,58,20
6205,2382,3663,21
6221,93,761,20
6226,2420,8246,84
6234,5167,314,20
6236,4571,111,20
6241,9610,6637,20
6242,9618,214,73
6281,9984,9601,62
6289,11504,58,20
6292,3717,214,73
6295,11637,75,294
6317,4755,635,48
6319,36,11578,350
6320,36,4398,350
6338,4486,761,20
6353,2475,214,73
6370,2846,12627,281
6371,2846,6268,281
6380,5225,4896,281
6382,9230,138,258
6383,2786,35,17
6385,7392,214,73
6386,8517,761,20
6394,8987,3647,20
6408,4681,251,21
6413,824,3381,20
6417,5427,4748,20
6421,8326,11362,123
6442,2080,314,20
6444,6591,638,73
6445,2176,1492,20
6473,4945,1410,20
6486,11723,4288,145
6489,10643,251,21
6506,9850,657,119
6526,3262,6027,530
6535,9803,3632,21
6543,2780,2082,20
6573,4240,3663,461
6575,13381,2882,153
6581,5425,214,73
6584,835,176,20
6587,3408,546,20
6588,3408,3839,20
6599,2612,58,84
6606,6964,58,20
6607,11501,138,524
6611,12081,177,62
6614,5373,58,84
6617,8592,546,20
6648,3076,331,123
6666,1193,58,84
6670,1229,58,48
6695,10998,251,89
6701,6220,4628,109
6722,12878,635,84
6734,7811,443,84
6740,8038,4643,119
6743,3803,3341,20
6754,3770,1508,723
6769,8435,879,109
6771,4407,465,321
6791,5708,3477,20
6792,7495,758,566
6793,1827,706,84
6811,6061,2328,20
6839,5078,111,20
6843,2093,1043,48
6846,6209,247,20
6848,8950,1160,62
6853,4982,546,20
6854,8418,35,17
6868,887,9148,123
6891,9157,278,445
6893,6378,138,56
6894,1050,1063,20
6899,2905,6637,20
6900,2905,3212,20
6942,7574,58,20
6944,8693,43,21
6946,4956,251,21
6976,11011,214,73
7004,8755,1544,109
7006,9728,635,20
7007,2383,638,73
7011,9286,58,20
7037,10557,657,119
7046,1453,251,200
7050,8623,1043,20
7051,8623,1925,20
7053,12874,214,73
7073,2175,58,84
7085,20,58,48
7095,3428,58,48
7111,6376,3252,258
7129,12144,3116,84
7165,7375,11445,153
7171,2527,986,21
7174,11711,251,200
7186,11367,11363,119
7200,5692,58,48
7212,7077,278,317
7215,4684,314,20
7217,11896,140,20
7218,11896,1063,20
7226,3994,635,317
7242,11299,1410,20
7254,3576,1381,20
7255,3576,3170,20
7265,8753,140,20
7276,8596,474,222
7292,5329,58,84
7298,1058,43,21
7306,8189,2927,119
7307,5028,1688,20
7309,8920,58,445
7327,370,2028,62
7338,1519,140,20
7339,6362,1304,20
7345,11031,4748,380
7348,615,278,317
7350,13690,2790,379
7354,8140,2925,281
7372,3321,3472,123
7384,7835,214,73
7388,2776,3123,20
7389,1950,138,56
7394,12942,7611,153
7397,1340,2216,20
7408,6468,1410,20
7410,11438,638,73
7417,1646,1358,84
7429,2727,247,20
7437,13818,58,84
7488,12563,58,20
7494,5416,3042,501
7496,8453,1688,20
7505,11062,635,20
7511,7272,1314,153
7523,6012,443,20
7527,481,635,20
7542,4028,2878,368
7545,9367,251,21
7565,10451,879,191
7570,6669,214,73
7571,2243,3839,20
7595,4712,251,21
7613,786,1043,20
7618,9356,638,73
7640,2690,3116,84
7653,3454,6637,20
7654,3454,761,20
7672,4723,3595,154
7674,11041,251,21
7683,7155,1358,20
7687,8776,58,84
7708,10755,8638,119
7710,1018,1314,34
7714,7819,913,62
7715,9901,278,20
7716,8785,10647,281
7727,8794,635,84
7745,1614,879,191
7758,6492,5778,119
7765,7866,3342,20
7787,5174,2028,349
7795,1645,41,20
7798,5652,35,17
7832,6537,4003,20
7835,1745,2442,123
7861,2885,43,21
7864,5451,1381,20
7887,5907,1043,48
7896,2720,5558,119
7908,7537,214,73
7916,3558,58,422
7941,9032,138,107
7944,6844,1043,84
7954,1147,214,73
7965,9751,49,119
8028,13793,4628,191
8030,11923,1966,95
8032,3164,138,107
8033,1513,803,20
8055,9070,58,84
8060,9882,35,17
8069,560,3159,145
8076,4369,58,84
8079,10110,638,73
8080,10068,214,73
8084,7198,638,73
8085,4757,1785,20
8089,6053,638,73
8140,4411,35,17
8144,9155,251,21
8150,12193,352,191
8193,6314,11814,191
8194,3431,176,20
8198,4261,3279,20
8207,5246,138,107
8213,993,58,48
8214,2371,3383,145
8224,7010,3788,119
8234,2592,2028,119
8249,1020,3804,20
8252,13802,214,73
8258,5090,214,73
8282,93,2151,20
8316,3212,138,524
8327,5517,2516,334
8351,10683,2151,20
8353,36,1587,350
8354,36,9041,350
8355,36,5503,350
8376,40,3342,20
8400,4722,3341,20
8412,10909,138,107
8413,1426,879,191
8440,1870,251,21
8469,9857,58,187
8477,2781,49,119
8489,115,9657,153
8493,1375,251,21
8505,345,11249,21
8510,8308,3798,20
8516,12106,3116,84
8569,11945,4628,191
8573,10515,3116,20
8578,5418,214,73
8597,8980,1043,48
8617,14426,879,109
8642,2084,4226,20
8653,13278,214,73
8655,1108,638,73
8657,4746,75,119
8680,4849,4748,20
8703,441,10490,191
8707,5930,879,191
8718,2921,3839,20
8724,4805,35,17
8725,12408,8545,566
8727,7278,8545,154
8747,3885,3798,48
8754,5604,10793,153
8770,9479,11417,84
8780,9086,6923,123
8801,1106,138,56
8884,511,58,84
8889,5078,140,20
8892,7853,58,20
8894,526,58,48
8902,5478,214,73
8903,4361,8099,119
8913,2663,3839,20
8914,4982,140,20
8923,12904,913,62
8933,887,404,123
8942,12515,11060,119
8952,9941,12125,281
8953,9941,2725,281
8955,1050,714,20
8961,10668,2878,368
8965,5149,635,84
8976,6270,638,73
8982,13188,154,62
8997,1465,138,258
9002,2145,58,48
9004,5871,247,84
9010,11574,504,20
9022,6354,2882,153
9040,9068,352,191
9065,7244,2151,20
9071,182,1542,387
9074,10526,6997,119
9102,8667,251,200
9117,2158,4796,191
9128,4822,2787,145
9133,1343,138,107
9141,9933,247,20
9155,3095,58,84
9186,5783,58,84
9191,8273,35,17
9204,13728,7255,154
9207,935,247,20
9221,1690,706,119
9236,2573,2878,368
9238,2527,1034,20
9239,2527,3663,21
9245,7519,138,524
9255,6692,58,84
9258,2578,214,73
9286,8390,3477,20
9299,11299,1381,20
9308,4206,2778,20
9347,9395,5572,123
9358,539,3882,34
9378,3597,138,56
9391,11361,58,84
9400,4779,715,317
9402,8118,58,84
9419,4292,758,476
9450,49,2882,34
9451,6468,1732,20
9477,7294,8165,119
9486,12570,58,84
9508,7793,58,48
9516,12842,1130,178
9526,5210,214,73
9529,2507,3663,723
9537,8076,214,73
9560,3876,879,191
9584,7012,5165,21
9599,4812,251,21
9624,4713,1314,34
9633,116,2744,21
9649,12086,58,84
9657,9631,58,84
9683,521,140,20
9684,521,3647,20
9687,2200,2151,20
9710,8737,2254,20
9716,2778,4069,453
9726,2772,138,56
9732,1018,13061,34
9736,9901,2254,20
9741,7398,58,48
9749,12107,986,662
9751,1012,1043,48
9761,10158,1925,20
9778,7866,35,17
9790,12019,4628,109
9793,10553,251,21
9807,1808,1381,20
9808,1454,1732,20
9847,4018,138,56
9871,9207,214,73
9878,9940,706,84
9895,3727,635,84
9900,4352,10162,119
9901,4885,920,119
9905,10004,11133,153
9907,10228,251,21
9912,5040,1270,119
9913,8491,58,84
9936,826,657,119
9941,7670,10490,109
9947,1744,251,200
9957,110,176,20
9970,6197,4741,119
9972,8852,1043,20
9973,8852,2328,20
9977,1844,635,48
10001,10761,58,20
10006,6675,76,34
10013,13212,638,73
10023,5663,635,20
10025,4647,635,48
10035,12298,1544,191
10051,9329,35,17
10053,10189,5898,119
10070,3512,58,20
10071,6899,138,56
10120,2224,278,187
10121,7868,5483,119
10123,4261,58,20
10162,9392,278,84
10164,458,138,56
10172,1020,138,56
10173,1020,2328,20
10182,5720,214,73
10185,6058,3383,145
10220,1217,1925,317
10233,4571,635,20
10244,1315,6637,20
10256,2085,8875,530
10264,2842,140,20
10267,1461,635,84
10273,4739,41,20
10283,13089,10023,488
10306,10683,176,20
10312,36,7452,350
10313,36,3342,350
10330,2569,58,20
10333,10386,2151,20
10345,13862,214,73
10362,3608,35,17
10370,7870,176,84
10414,2148,251,461
10417,11738,14069,153
10419,6073,58,20
10429,5193,13837,109
10443,8152,3804,20
10450,2322,138,524
10452,4598,138,56
10454,7333,1732,20
10465,11074,638,73
10468,3422,251,200
10473,1715,3279,20
10480,11587,251,461
10491,5721,10757,119
10510,9803,3708,21
10565,906,58,84
10568,8319,986,21
10572,4615,214,73
10609,13278,1410,84
10611,8742,7611,153
10618,8592,251,21
10630,7041,58,48
10632,3923,251,655
10636,12291,214,73
10648,11590,638,73
10680,6667,278,20
10693,8175,635,84
10696,911,891,566
10702,3885,314,20
10703,1031,229,62
10704,4795,138,258
10724,4244,12097,119
10739,9086,2427,123
10755,2533,706,84
10758,2695,2882,34
10764,3414,138,56
10803,9094,4796,109
10808,1951,2882,153
10809,3437,214,73
10820,578,251,21
10831,7551,2983,62
10860,4792,314,20
10874,5757,214,73
10879,887,11677,123
10903,1050,251,21
10904,6941,1358,20
10907,5444,1544,191
10947,845,3798,20
10948,4889,8651,20
10957,2910,214,73
10958,10610,138,56
10960,1169,10911,530
10983,3267,251,200
10985,1695,214,73
11009,3764,4748,20
11043,7244,546,20
11045,3381,4069,453
11052,3377,443,20
11057,8062,58,422
11060,6005,3796,119
11076,7260,251,21
11082,4030,12695,154
11093,6873,706,84
11096,1026,214,73
11102,7757,278,20
11125,3193,442,123
11127,3811,1381,20
11141,3687,638,73
11148,3428,251,21
11163,13264,11544,109
11177,13173,474,127
11224,7043,9657,153
11226,3158,3632,21
11232,11810,657,62
11243,1384,138,56
11251,1350,3040,21
11260,5881,9470,145
11263,12423,3939,62
11270,11657,214,73
11300,5636,58,20
11306,7124,3341,20
11316,3597,2151,20
11341,10272,4628,191
11344,11555,4881,464
11363,13745,3171,566
11371,4292,635,306
11376,11289,214,73
11377,2526,138,56
11379,5980,6457,579
11382,12988,4545,154
11383,12988,443,317
11386,216,4545,154
11405,6670,58,48
11415,13925,247,84
11455,5389,3647,20
11458,1244,138,107
11465,11753,3663,200
11478,8453,314,20
11484,6203,4279,119
11489,190,138,524
11496,1163,11133,153
11512,9788,251,89
11548,2285,6402,109
11553,7009,638,73
11575,6408,706,84
11578,11942,6675,119
11580,5460,140,20
11585,8210,11904,281
11588,4476,2547,294
11595,744,58,20
11641,8974,214,73
11654,3584,2603,20
11661,9083,706,84
11677,8785,10688,281
11678,2800,5733,20
11716,1628,58,48
11723,4821,5193,123
11735,3783,138,56
11739,4501,2254,20
11764,9159,314,445
11787,7602,986,501
11811,7783,278,48
11839,11351,138,258
11861,4141,176,84
11873,6224,3123,20
11874,7562,1304,20
11886,2312,4628,109
11904,9918,1688,380
11936,7935,35,17
11978,12457,58,84
11984,124,2486,119
11992,2092,58,317
11994,722,138,107
12002,3149,7418,119
12004,2972,13061,34
12015,10769,2028,119
12017,829,214,73
12027,2851,251,21
12037,4647,1929,48
12040,2044,4039,34
12048,7654,138,258
12062,6557,3663,21
12066,3415,58,48
12067,12426,635,84
12075,1617,2778,20
12081,6800,58,48
12102,4287,11249,21
12124,1331,443,20
12127,2224,4691,222
12128,8768,138,56
12138,7410,12627,281
12143,2272,3828,349
12144,4158,58,84
12156,752,1293,123
12165,1884,251,21
12168,9972,635,422
12169,12153,58,20
12174,5090,1574,119
12182,9437,706,84
12226,8143,3663,21
12235,647,6510,20
12236,4043,58,84
12239,2595,2216,20
12257,5399,58,187
12274,3968,138,56
12278,8312,3647,20
12280,11778,247,84
12289,7570,58,48
12296,10683,314,20
12299,36,2085,350
12300,36,13224,350
12332,6647,214,73
12340,8733,1304,20
12355,11417,14174,95
12358,5225,9375,281
12359,5225,9663,281
12408,13393,8156,222
12411,880,1634,20
12423,11224,706,84
12435,8335,2744,200
12449,13843,58,84
12455,801,10718,197
12478,2060,251,21
12485,12736,176,119
12497,2732,43,200
12524,4302,2028,20
12534,6272,35,17
12542,629,58,20
12557,8944,635,306
12561,2410,75,294
12568,12321,251,655
12590,4849,1381,20
12612,1929,4069,453
12632,5843,176,20
12659,5184,314,20
12668,5458,278,84
12680,12103,214,73
12688,3311,35,17
12692,1596,3279,20
12709,3928,1785,20
12711,2779,1785,84
12718,2449,43,21
12731,2141,278,445
12758,6238,58,84
12764,10156,4414,294
12779,5708,2254,20
12790,2929,278,48
12800,5651,443,84
12806,1882,251,548
12846,3838,1304,20
12847,11455,638,73
12857,3867,2107,20
12859,4735,8134,281
12860,2575,251,200
12879,150,635,20
12880,3007,10890,123
12881,10161,214,73
12889,1923,12053,34
12906,895,2882,153
12942,2251,251,200
12946,2222,1068,119
12951,11811,58,84
12959,7096,251,21
12984,1778,49,294
12997,8028,58,84
12998,1694,3804,20
13002,8360,3636,62
13005,12143,7342,191
13008,7351,658,119
13011,11869,714,20
13031,6935,3663,21
13047,2348,9132,95
13050,1687,58,48
13052,11766,14079,281
13069,1693,991,123
13072,9408,397,119
13085,7577,1732,20
13087,3667,58,187
13095,3948,6925,566
13096,7857,1929,20
13139,973,58,48
13146,9002,4069,453
13149,418,3632,200
13150,418,4933,119
13153,731,214,73
13170,2527,111,20
13175,13067,10051,235
13179,3257,278,20
13188,5485,35,17
13205,5918,251,21
13210,3499,10835,566
13211,4076,1043,445
13212,10522,11932,281
13213,10982,3262,119
13219,12774,352,109
13256,8753,4148,20
13268,13377,11410,119
13271,8007,6997,317
13296,5968,58,84
13301,4750,3663,21
13309,7220,3708,21
13317,3597,761,20
13319,12442,58,84
13338,6362,2328,20
13342,11031,1925,380
13343,1707,13857,119
13347,3769,58,84
13350,5995,2146,20
13356,7391,4069,453
13373,2893,6993,20
13384,1068,10793,34
13394,11438,706,84
13402,6463,58,48
13404,8703,2878,368
13412,10226,10315,200
13426,10343,3123,84
13432,3165,35,17
13463,714,138,524
13466,6102,58,48
13471,2814,214,73
13486,4590,638,73
13488,11190,251,200
13491,5495,251,21
13492,8082,251,200
13496,3702,58,48
13507,7018,58,84
13526,6480,138,519
13540,8088,58,20
13550,14134,638,73
13576,1875,58,84
13580,7111,35,17
13604,5460,1275,20
13609,412,58,84
13613,100,58,84
13615,5386,1785,84
13619,2752,251,655
13625,268,58,422
13628,9465,635,48
13632,4525,214,73
13663,11807,4713,294
13664,11041,2151,20
13675,8737,504,20
13676,943,58,84
13678,11059,251,200
13697,1515,635,306
13702,13433,2028,119
13713,3924,251,21
13720,5971,3839,20
13725,10606,138,56
13749,3726,58,20
13757,2235,35,17
13761,5669,214,73
13766,4651,214,73
13771,14849,9912,609
13773,11101,144,294
13774,1506,3647,20
13780,9802,138,766
13810,2750,251,200
13842,8532,13889,119
13845,2267,6457,579
13846,3364,251,21
13892,9214,58,84
13905,12685,251,21
13993,9517,9455,235
14034,4553,1304,20
14043,9492,1043,20
14056,10078,214,73
14079,4510,138,107
14105,1642,4003,20
14147,8296,13708,281
14163,2641,638,73
14164,10985,6014,178
14170,5195,986,21
14174,2493,5378,123
14230,853,9735,119
14240,6629,251,21
14265,2538,58,48
14266,2538,58,20
14267,1397,3647,20
14278,3646,504,20
14286,3429,214,73
14288,6397,1732,20
14292,8943,58,20
14295,5330,58,84
14313,6077,3916,153
14324,4718,58,20
14352,1976,2882,34
14383,8517,41,20
14394,623,251,21
14408,7988,2516,334
14415,8326,3383,123
14423,1472,58,20
14427,5005,706,84
14428,12632,214,73
14443,4737,635,84
14446,13030,3141,258
14447,106,251,21
14456,7669,1785,84
14470,7333,247,20
14472,10519,214,73
14500,2167,3663,21
14511,6607,251,200
14584,12591,2361,153
14587,6964,1381,20
14589,7979,251,21
14594,6469,251,200
14603,2521,2308,119
14641,991,352,109
14647,12315,8053,119
14667,227,251,21
14669,3384,251,89
14677,12603,10117,62
14682,4671,879,191
14685,1596,714,20
14690,6226,314,20
14692,6538,35,17
14693,5521,2882,153
14695,6221,138,56
14703,2449,5624,21
14704,4783,58,84
14734,4465,8172,145
14735,6070,138,56
14744,12222,214,73
14750,6256,3632,200
14755,9812,3116,84
14771,9325,2744,200
14773,5623,443,48
14783,11208,214,73
14784,7158,58,84
14793,6157,2254,20
14817,10426,6998,119
14819,5412,214,73
14823,2945,6420,84
14834,11455,138,107
14840,8433,2603,20
14850,2421,58,20
14852,9941,8297,281
14854,1050,1929,20
14863,53,12662,333
14869,5033,3116,20
14878,7861,657,119
14885,845,11355,476
14900,11574,35,17
14904,3465,3788,119
14908,10104,11886,235
14912,10574,214,73
14933,3326,214,73
14973,809,58,317
14978,11869,111,20
14985,2721,879,191
14990,13704,214,73
14997,1761,3647,20
15016,8865,214,73
15028,8800,3123,20
15034,11218,251,89
15042,2137,4115,20
15047,7818,35,17
15051,3095,214,73
15071,8423,1542,387
