h,t,r
12316,10,4
2130,10,4
12681,17,4
8221,9,4
11198,174,4
1372,9,4
12274,9,4
10133,9,4
3015,10,4
12746,17,4
2660,17,4
7305,174,4
12428,9,4
3285,9,4
8221,10,4
7609,10,4
9884,10,4
12908,17,4
12691,17,4
9991,10,4
8135,17,4
10385,9,4
1653,10,4
6317,17,4
7999,9,4
8853,10,4
9350,10,4
7217,10,4
9053,10,4
12444,9,4
10881,17,4
12667,10,4
8072,10,4
11730,10,4
12041,174,4
13008,174,4
11847,10,4
7946,10,4
6243,174,4
12828,17,4
10881,10,4
11243,17,4
4593,9,4
12556,17,4
10325,9,4
9818,17,4
13107,17,4
905,10,4
7304,6313,4
10901,10,4
6419,9,4
7441,17,4
6703,9,4
4627,17,4
8485,174,4
9886,10,4
6317,10,4
1421,10,4
2685,17,4
12046,9,4
11991,174,4
4068,17,4
12534,17,4
9891,10,4
2653,10,4
9459,9,4
9834,174,4
4433,17,4
3792,9,4
1532,10,4
1154,17,4
11280,9,4
9909,10,4
13187,17,4
8366,17,4
13341,10,4
7264,17,4
12699,17,4
9886,9,4
7487,174,4
6630,174,4
11051,174,4
12946,10,4
2742,17,4
13396,174,4
4068,10,4
2097,174,4
6612,10,4
12578,10,4
12891,174,4
10599,17,4
9137,174,4
2129,10,4
10613,174,4
9227,10,4
12667,9,4
9620,17,4
13485,9,4
12338,174,4
12274,17,4
3130,174,4
7264,9,4
9385,174,4
13289,9,4
6229,17,4
13540,9,4
1154,10,4
13546,17,4
8242,17,4
13439,174,4
1321,17,4
1341,10,4
893,17,4
9255,17,4
7487,9,4
13023,9,4
12652,10,4
9580,17,4
11787,17,4
13634,9,4
12450,17,4
4433,9,4
12810,9,4
7257,10,4
10484,174,4
1663,9,4
10661,174,4
5470,9,4
8727,17,4
5856,17,4
7621,10,4
5784,17,4
4219,174,4
8463,17,4
6038,17,4
5237,10,4
12198,17,4
2462,174,4
7213,9,4
13740,9,4
6243,10,4
10970,174,4
7028,174,4
10394,9,4
9683,174,4
13634,10,4
10657,174,4
10715,9,4
3820,10,4
11213,9,4
4583,174,4
9679,174,4
10051,174,4
5510,11341,4
9301,9,4
7814,9,4
1831,17,4
9084,10,4
11975,174,4
1564,17,4
10972,10,4
11864,9,4
13245,10,4
12699,10,4
5809,17,4
11121,11341,4
12444,10,4
5675,10,4
7369,9,4
7621,9,4
9573,10,4
9371,9,4
13439,9,4
13894,174,4
6353,17,4
4605,10,4
1564,9,4
7028,10,4
11412,10,4
13218,9,4
13912,10,4
12510,10,4
11292,17,4
11001,174,4
10246,10,4
11251,17,4
9350,174,4
12553,10,4
568,10,4
6419,17,4
10314,9,4
4475,174,4
8328,10,4
1490,17,4
12029,174,4
9930,174,4
13218,17,4
12370,9,4
10629,9,4
12946,9,4
11728,17,4
10585,10,4
4671,17,4
8904,17,4
13659,10,4
12578,9,4
10905,9,4
13732,174,4
11212,10,4
9167,9,4
9127,10,4
13398,9,4
1834,9,4
5470,17,4
13067,10,4
10715,10,4
13008,17,4
6703,10,4
9909,174,4
12882,9,4
7277,174,4
10203,10,4
4007,9,4
13866,10,4
9931,9,4
12496,174,4
7253,9,4
10486,9,4
8485,17,4
8727,174,4
14056,10,4
3534,174,4
9684,17,4
9693,174,4
14060,174,4
1528,9,4
12908,174,4
1419,17,4
1263,174,4
13947,174,4
2679,10,4
4596,174,4
6340,9,4
11992,10,4
1868,10,4
11825,174,4
14135,17,4
7253,10,4
3515,10,4
11654,9,4
5719,9,4
5415,9,4
10493,9,4
3523,174,4
8366,10,4
7031,9,4
9301,174,4
2097,9,4
1523,17,4
10827,174,4
3176,17,4
11441,9,4
5019,9,4
14207,9,4
7149,10,4
9818,10,4
12993,10,4
6772,17,4
4219,17,4
8221,174,4
10000,17,4
10461,174,4
11841,17,4
8022,9,4
3534,17,4
2753,9,4
11992,174,4
12578,17,4
7423,9,4
12467,9,4
11251,9,4
2477,174,4
7257,17,4
11735,9,4
2158,9,4
13947,10,4
4002,174,4
12191,17,4
3427,9,4
9084,17,4
9923,10,4
10611,9,4
9864,17,4
9842,10,4
9864,174,4
10740,9,4
6776,10,4
13560,17,4
10090,10,4
1867,17,4
10291,174,4
3792,17,4
11274,9,4
9891,9,4
10465,17,4
5110,17,4
5377,17,4
10440,9,4
5719,10,4
12961,9,4
9683,10,4
4221,10,4
5237,174,4
7217,174,4
4221,17,4
1365,17,4
13598,10,4
3367,10,4
7528,174,4
13248,17,4
8669,10,4
6525,9,4
11957,9,4
12699,9,4
9936,174,4
7253,174,4
11333,174,4
11083,17,4
5146,10,4
9674,10,4
5719,174,4
3222,17,4
10440,17,4
7621,174,4
13398,10,4
13864,9,4
10104,174,4
10442,10,4
12274,10,4
3038,9,4
3265,17,4
11886,9,4
12881,17,4
12010,174,4
12959,9,4
8242,9,4
12959,10,4
1365,9,4
12221,9,4
7685,10,4
13052,9,4
12025,10,4
16,17,4
8979,174,4
12691,9,4
13069,174,4
3985,9,4
12351,17,4
8446,9,4
9466,17,4
11083,9,4
2866,17,4
11614,10,4
11388,10,4
4592,9,4
13546,10,4
10693,10,4
10706,17,4
12551,9,4
13689,9,4
9727,17,4
5972,17,4
5493,174,4
13067,174,4
9255,9,4
10657,10,4
13732,9,4
13947,9,4
10486,17,4
4974,174,4
9970,9,4
5146,174,4
12681,174,4
7978,17,4
13479,174,4
13359,17,4
1421,9,4
4113,9,4
11502,174,4
10325,10,4
2390,17,4
10465,10,4
8523,17,4
3077,9,4
12881,10,4
6606,17,4
7092,17,4
585,174,4
8543,174,4
14408,10,4
5162,9,4
12298,17,4
14207,174,4
1831,10,4
12707,9,4
4715,10,4
13485,10,4
5398,174,4
7174,9,4
13087,9,4
7084,9,4
4605,9,4
11045,17,4
7420,10,4
5861,10,4
4324,10,4
10177,9,4
8292,174,4
9466,174,4
7361,10,4
5428,9,4
5470,10,4
1834,17,4
11051,17,4
4440,17,4
8853,9,4
8321,9,4
5151,10,4
5440,17,4
8033,17,4
8323,9,4
3361,17,4
10175,17,4
2679,174,4
8933,174,4
5415,10,4
10422,17,4
13178,17,4
12420,10,4
10706,10,4
5084,17,4
7174,174,4
3222,174,4
13587,174,4
1206,174,4
9818,9,4
11559,17,4
10104,10,4
8765,17,4
11114,17,4
11991,10,4
12257,17,4
9137,10,4
9137,17,4
13240,17,4
9758,17,4
4068,174,4
9665,17,4
12010,17,4
9925,10,4
7910,10,4
12959,17,4
10180,174,4
13087,10,4
8787,9,4
12370,17,4
8752,17,4
7928,17,4
9350,9,4
11157,9,4
12891,17,4
10629,174,4
8854,174,4
12010,10,4
13187,9,4
3038,17,4
9864,10,4
11157,174,4
9665,9,4
12930,9,4
10329,174,4
6176,9,4
5972,9,4
3005,10,4
11364,17,4
12496,10,4
4002,10,4
1532,9,4
13025,10,4
6147,11341,4
4591,174,4
8079,17,4
13634,174,4
8163,17,4
12298,10,4
8520,9,4
7751,10,4
3360,9,4
14536,9,4
13040,174,4
7499,10,4
10061,10,4
8923,9,4
11453,10,4
12833,17,4
5861,17,4
8220,10,4
7257,9,4
12689,9,4
11556,9,4
9327,174,4
11243,9,4
8485,10,4
3544,17,4
13208,17,4
13505,174,4
3523,9,4
8163,174,4
14207,17,4
4866,9,4
7973,9,4
10866,9,4
4054,10,4
8220,9,4
2997,174,4
5849,174,4
5747,17,4
11691,9,4
4429,9,4
3940,9,4
10498,10,4
13359,9,4
8146,17,4
9991,9,4
4623,174,4
9727,9,4
3533,10,4
13067,17,4
5146,9,4
6440,9,4
8923,174,4
5146,17,4
8167,17,4
5406,174,4
3840,17,4
9571,9,4
6525,10,4
9609,17,4
3285,10,4
11728,9,4
11847,9,4
3286,17,4
12420,9,4
10116,10,4
9809,17,4
8500,17,4
585,10,4
8669,17,4
11864,174,4
12556,9,4
6988,17,4
14064,9,4
12868,9,4
7170,17,4
11227,9,4
9913,10,4
9137,9,4
14328,10,4
3574,174,4
11212,9,4
12332,10,4
9906,10,4
8765,9,4
3176,9,4
4458,9,4
2364,174,4
13505,9,4
6319,17,4
13391,17,4
11992,17,4
7369,17,4
9884,9,4
4400,9,4
4400,17,4
9608,10,4
9355,174,4
2653,9,4
8182,17,4
5666,9,4
12705,174,4
12029,10,4
4130,17,4
8220,17,4
7608,10,4
10874,9,4
10130,9,4
5423,174,4
13417,174,4
516,174,4
13440,10,4
13116,17,4
173,10,4
10272,17,4
13751,10,4
1878,9,4
9127,17,4
9015,10,4
11717,10,4
7498,17,4
13587,9,4
10970,9,4
11632,10,4
11380,17,4
12056,10,4
2681,9,4
9758,174,4
13069,9,4
12833,10,4
7588,17,4
11580,17,4
3875,174,4
9712,9,4
1527,10,4
7588,10,4
13417,10,4
1154,9,4
516,10,4
6440,17,4
13740,17,4
10501,17,4
2158,17,4
6909,10,4
5055,10,4
3892,10,4
905,17,4
4400,10,4
8108,10,4
9250,10,4
3130,17,4
8752,10,4
10304,9,4
11388,17,4
11080,17,4
2129,17,4
5415,17,4
6625,17,4
8877,174,4
3574,10,4
5809,10,4
11559,9,4
12828,174,4
10706,9,4
12810,10,4
9809,9,4
8320,17,4
1208,174,4
2763,9,4
3427,174,4
7516,10,4
1206,17,4
9250,9,4
3515,17,4
13817,17,4
13263,10,4
5444,9,4
14328,9,4
8182,9,4
12810,174,4
757,17,4
13263,9,4
4799,174,4
3516,10,4
4130,9,4
13866,17,4
10129,174,4
12494,10,4
12012,174,4
3397,17,4
10051,10,4
10090,9,4
13341,9,4
14211,9,4
13263,17,4
8006,17,4
7900,9,4
9665,174,4
11045,10,4
9834,17,4
5423,17,4
11847,17,4
8371,17,4
6328,10,4
10116,174,4
1421,17,4
5798,9,4
10851,9,4
13307,174,4
10498,9,4
9472,10,4
8485,866,4
3360,17,4
6466,174,4
7042,174,4
13409,174,4
8854,17,4
6745,17,4
8022,10,4
10108,10,4
2542,174,4
7814,17,4
10939,9,4
13568,10,4
14253,174,4
666,17,4
666,174,4
12407,17,4
7428,17,4
2462,9,4
6487,17,4
9588,17,4
4007,174,4
8853,174,4
11333,17,4
13659,17,4
12652,17,4
3534,10,4
12828,10,4
11886,17,4
7487,10,4
4400,174,4
12056,174,4
9971,9,4
11051,9,4
9301,10,4
7855,9,4
12387,174,4
10394,174,4
12689,174,4
10303,9,4
9213,17,4
10656,17,4
4815,17,4
10972,9,4
11171,10,4
1154,174,4
11213,10,4
12908,10,4
14279,10,4
13634,17,4
13163,17,4
8355,174,4
12580,174,4
3417,9,4
9250,17,4
5377,9,4
2685,10,4
8292,17,4
13568,9,4
14467,9,4
11127,10,4
5398,17,4
7928,9,4
13240,10,4
10203,9,4
9609,174,4
10461,10,4
12494,17,4
7321,9,4
1426,174,4
7973,17,4
7937,10,4
13947,17,4
3527,17,4
10484,9,4
12553,9,4
8228,17,4
12021,174,4
8072,9,4
16,174,4
8228,9,4
9730,174,4
13440,174,4
7498,174,4
14253,17,4
5377,174,4
8622,17,4
2462,10,4
8044,10,4
4454,9,4
10440,10,4
3417,174,4
989,9,4
11905,17,4
10051,17,4
7609,9,4
11292,9,4
13716,174,4
9634,17,4
14207,10,4
6353,9,4
11156,174,4
9174,174,4
3197,17,4
8084,17,4
9588,9,4
11121,9,4
12663,17,4
7361,17,4
9930,10,4
10970,10,4
11083,10,4
6466,9,4
13751,9,4
1532,17,4
7715,10,4
6074,10,4
9977,10,4
13248,174,4
13654,10,4
13396,17,4
6342,10,4
11841,174,4
7446,9,4
8022,174,4
2685,9,4
13069,10,4
7042,9,4
5428,10,4
10715,17,4
8877,9,4
9991,174,4
11380,10,4
8323,174,4
9153,17,4
8167,10,4
5202,10,4
181,10,4
10855,10,4
13546,9,4
11787,10,4
7423,17,4
10656,174,4
7174,10,4
1341,9,4
8366,9,4
12316,174,4
8321,10,4
9573,174,4
7608,174,4
9679,10,4
2997,17,4
11080,10,4
9909,9,4
3361,9,4
8671,9,4
9997,10,4
9884,174,4
4383,9,4
11243,10,4
9741,17,4
10503,17,4
7084,10,4
12244,17,4
5719,17,4
2685,174,4
12444,174,4
3515,9,4
11047,174,4
173,17,4
11580,9,4
13654,9,4
7528,10,4
11378,17,4
2734,9,4
9461,10,4
10272,174,4
9167,174,4
2681,174,4
7184,10,4
8167,174,4
6745,9,4
1527,174,4
8146,174,4
6742,174,4
12010,9,4
9455,10,4
9570,174,4
9609,10,4
757,10,4
8744,174,4
11302,174,4
3197,10,4
757,9,4
12012,9,4
13894,17,4
10956,10,4
11783,174,4
11886,174,4
9741,174,4
9673,9,4
7999,17,4
8580,9,4
7213,17,4
4627,10,4
842,174,4
11502,9,4
6475,10,4
1831,9,4
2551,9,4
1653,9,4
4383,174,4
2997,10,4
7751,9,4
6342,174,4
14253,9,4
1543,17,4
11777,174,4
4113,17,4
5440,9,4
12041,9,4
5315,17,4
10956,174,4
6947,17,4
1868,174,4
6359,17,4
12021,10,4
9015,174,4
7702,10,4
9345,17,4
13023,174,4
8765,174,4
11453,9,4
10385,17,4
8622,9,4
1700,174,4
13341,17,4
2320,9,4
8978,17,4
11302,9,4
10866,17,4
9665,10,4
4908,17,4
11145,174,4
1543,10,4
1321,174,4
12450,10,4
14279,9,4
10175,9,4
12746,174,4
4540,10,4
9727,174,4
7241,17,4
1372,10,4
5110,10,4
2097,10,4
12913,17,4
585,9,4
11735,10,4
7241,174,4
11783,17,4
12790,17,4
12298,174,4
11378,174,4
3361,174,4
14279,17,4
5315,174,4
1422,174,4
11905,9,4
11,10,4
893,9,4
13248,10,4
10611,10,4
13121,10,4
11728,10,4
7743,174,4
11991,9,4
13289,17,4
6317,174,4
11654,17,4
11911,17,4
8242,10,4
11991,17,4
1528,17,4
1321,10,4
10905,174,4
11001,10,4
7361,9,4
9355,9,4
4131,17,4
11001,17,4
317,174,4
4715,17,4
11156,17,4
8500,174,4
11735,174,4
1700,9,4
11004,174,4
6606,10,4
13740,174,4
11453,17,4
1523,10,4
6736,10,4
989,174,4
12556,174,4
12913,174,4
11946,9,4
9925,9,4
13282,17,4
11895,174,4
8135,9,4
10923,174,4
5671,10,4
7685,174,4
10377,17,4
3985,10,4
10232,17,4
5798,10,4
8671,10,4
11404,174,4
10394,17,4
8220,174,4
10493,174,4
10923,9,4
4815,9,4
10246,17,4
2866,9,4
1342,17,4
10152,10,4
842,10,4
13087,17,4
14135,10,4
7103,10,4
10889,17,4
10000,174,4
1208,10,4
9923,174,4
5151,17,4
425,174,4
8952,10,4
10385,10,4
4131,9,4
5849,9,4
12428,174,4
13417,9,4
4324,174,4
6736,17,4
4130,10,4
6440,174,4
3985,17,4
9997,17,4
10661,9,4
1878,17,4
12401,9,4
4221,174,4
13654,17,4
10377,174,4
9167,10,4
9891,174,4
3176,10,4
9609,9,4
10326,17,4
3005,17,4
3427,10,4
10232,174,4
6038,10,4
7743,10,4
12257,174,4
9385,9,4
4113,174,4
666,9,4
10314,174,4
1834,174,4
12056,9,4
11975,17,4
5423,9,4
9455,9,4
5162,174,4
8854,9,4
9213,9,4
10693,9,4
3840,174,4
11936,17,4
11439,17,4
1663,17,4
568,9,4
13225,9,4
8752,9,4
10827,10,4
11416,9,4
11911,9,4
10855,9,4
2403,10,4
7900,174,4
10442,174,4
1206,9,4
11559,10,4
4908,9,4
9865,10,4
8787,10,4
12420,17,4
8463,10,4
7455,9,4
9913,9,4
4433,174,4
7999,174,4
13659,9,4
13307,17,4
9730,9,4
8732,174,4
12839,9,4
8321,17,4
12790,9,4
10163,10,4
10116,17,4
10920,174,4
10442,17,4
11825,9,4
14262,9,4
6988,9,4
7937,17,4
8072,17,4
7715,174,4
12428,17,4
9909,17,4
4908,174,4
4671,10,4
7978,174,4
13069,17,4
5798,17,4
9865,17,4
7092,9,4
10180,9,4
13540,174,4
6475,174,4
11499,174,4
4131,10,4
7455,17,4
11502,17,4
8320,9,4
4383,17,4
5784,10,4
10939,10,4
10901,9,4
7420,174,4
4132,10,4
7441,10,4
13307,10,4
2763,17,4
14060,9,4
1543,9,4
3654,9,4
12534,9,4
10693,17,4
7446,17,4
8772,17,4
5202,174,4
7588,174,4
2149,174,4
11047,17,4
7361,174,4
13703,10,4
12578,174,4
7428,10,4
8084,10,4
1422,17,4
5151,9,4
11730,174,4
13163,10,4
1831,174,4
9971,17,4
8727,10,4
5675,9,4
7716,9,4
4392,174,4
4623,9,4
4440,10,4
7762,10,4
11554,10,4
7937,9,4
9616,17,4
2390,174,4
11946,10,4
7994,17,4
8442,174,4
8765,10,4
14211,17,4
11156,9,4
14135,9,4
5151,174,4
183,10,4
9925,174,4
9355,17,4
13225,17,4
5055,9,4
3222,10,4
4972,9,4
4454,10,4
13240,174,4
9455,17,4
9923,9,4
10232,10,4
8952,9,4
6927,17,4
4054,174,4
9126,9,4
10878,10,4
6074,17,4
10661,17,4
8427,9,4
11911,174,4
8084,9,4
13240,9,4
2980,9,4
10881,9,4
9977,17,4
7170,9,4
13689,10,4
4972,17,4
9126,10,4
12319,10,4
8952,174,4
2470,17,4
5110,174,4
5493,9,4
11825,17,4
7321,10,4
4458,174,4
1878,10,4
2866,10,4
9355,10,4
9570,10,4
10061,9,4
10536,10,4
6947,9,4
9684,9,4
10151,174,4
8446,17,4
9327,10,4
5675,174,4
10303,10,4
12881,174,4
13506,17,4
6455,174,4
6176,17,4
11095,9,4
9053,17,4
4052,9,4
6475,9,4
7634,10,4
5856,10,4
9758,9,4
5290,17,4
3654,17,4
12868,17,4
11841,10,4
10822,9,4
12667,174,4
10607,10,4
13067,9,4
11499,17,4
13396,10,4
11614,17,4
10152,9,4
5675,17,4
12961,10,4
8979,17,4
13550,9,4
4591,9,4
3038,174,4
4354,17,4
12946,17,4
12198,9,4
11123,9,4
4592,174,4
11380,174,4
12496,17,4
8442,17,4
13598,17,4
6772,9,4
14345,10,4
12191,10,4
10717,174,4
12534,174,4
13716,10,4
9712,174,4
9842,17,4
9517,174,4
8543,17,4
10291,17,4
3275,9,4
13505,17,4
7613,9,4
3283,9,4
10901,17,4
7751,17,4
11151,174,4
10129,9,4
5861,9,4
5398,9,4
12496,9,4
14328,174,4
317,17,4
10939,17,4
3527,174,4
4219,10,4
13417,17,4
2975,10,4
2130,17,4
6369,174,4
13398,174,4
12993,9,4
12551,174,4
317,10,4
11151,17,4
10740,174,4
11292,10,4
12705,9,4
12370,174,4
12868,174,4
8242,174,4
7828,174,4
7370,9,4
6328,174,4
10855,174,4
3275,17,4
12705,17,4
3265,9,4
1700,17,4
9865,9,4
10717,9,4
11243,174,4
11117,9,4
8321,174,4
12021,9,4
12387,17,4
6910,174,4
9971,174,4
4029,9,4
12462,10,4
14262,10,4
3286,10,4
3792,10,4
13178,9,4
11441,17,4
7855,10,4
6823,9,4
11691,10,4
6612,17,4
7369,10,4
9227,17,4
7487,17,4
10934,9,4
7516,9,4
10486,10,4
11114,10,4
12510,17,4
10950,9,4
181,9,4
13052,174,4
6703,174,4
14211,10,4
10717,10,4
6319,174,4
10314,10,4
4583,10,4
9936,9,4
5510,17,4
2320,17,4
8292,10,4
4974,10,4
13208,10,4
10325,17,4
8163,10,4
11095,17,4
10611,174,4
1208,17,4
10878,174,4
8589,10,4
7031,174,4
12551,17,4
1372,17,4
13866,9,4
7321,174,4
2679,17,4
9971,10,4
13550,17,4
8079,10,4
8853,17,4
6359,10,4
13864,17,4
3892,17,4
8163,9,4
12351,174,4
6353,10,4
12332,17,4
11117,17,4
1344,174,4
10607,17,4
4540,9,4
13248,9,4
11195,174,4
14195,174,4
9517,10,4
10889,9,4
3534,9,4
11730,17,4
13970,9,4
4815,174,4
13339,10,4
4475,10,4
8933,17,4
6340,10,4
2975,9,4
7752,17,4
8500,9,4
10503,174,4
11123,174,4
4666,9,4
12269,10,4
7751,174,4
13107,9,4
11439,174,4
9537,9,4
9673,10,4
8500,10,4
8575,9,4
13550,174,4
9977,174,4
2742,9,4
13568,174,4
2681,17,4
2742,174,4
4958,10,4
7370,17,4
13225,174,4
13440,17,4
9620,10,4
1867,9,4
12652,9,4
13116,174,4
12444,17,4
5084,9,4
11777,9,4
4715,9,4
5671,174,4
5972,174,4
9925,17,4
6466,10,4
7370,10,4
3297,174,4
6369,10,4
9741,10,4
4592,17,4
8923,17,4
9466,9,4
14328,17,4
6342,17,4
7752,174,4
8724,10,4
7257,174,4
11251,174,4
7994,9,4
8221,17,4
4958,9,4
7516,174,4
2364,17,4
4591,17,4
12790,10,4
7028,9,4
10822,17,4
10901,174,4
10934,17,4
12494,9,4
13052,10,4
6229,10,4
11549,9,4
9484,17,4
6742,17,4
5849,17,4
11556,10,4
7499,9,4
11783,9,4
9127,174,4
1940,10,4
10874,174,4
7702,9,4
13866,174,4
6776,174,4
14245,9,4
2542,9,4
6745,174,4
5666,174,4
10613,17,4
10851,17,4
10180,10,4
11051,10,4
4429,174,4
13587,17,4
10151,17,4
11453,174,4
4863,9,4
5444,17,4
5656,17,4
3544,9,4
10326,9,4
7092,10,4
11825,10,4
7149,17,4
6910,10,4
12269,17,4
8589,17,4
11227,10,4
9484,174,4
6625,174,4
1365,174,4
9884,17,4
7910,9,4
2364,9,4
4958,17,4
8442,9,4
8622,10,4
3285,174,4
2403,17,4
14245,10,4
7035,17,4
5809,9,4
11975,10,4
11213,17,4
10000,9,4
13040,10,4
4558,17,4
10956,9,4
6909,174,4
13894,9,4
8323,10,4
4429,17,4
12021,17,4
8,17,4
10607,9,4
11895,9,4
13587,10,4
2319,17,4
11157,10,4
4540,17,4
11280,174,4
5377,10,4
12716,17,4
8328,9,4
11936,10,4
7084,174,4
13440,9,4
11549,10,4
3286,9,4
6630,9,4
10016,10,4
9537,10,4
11292,174,4
11416,174,4
6487,9,4
11847,174,4
11,174,4
11083,174,4
8816,10,4
9997,9,4
9472,9,4
11441,10,4
10585,17,4
3077,174,4
13263,174,4
8371,174,4
14487,9,4
8923,10,4
893,174,4
12810,17,4
3516,17,4
13560,9,4
8575,10,4
2753,174,4
9227,174,4
9571,174,4
12580,9,4
1868,17,4
9015,17,4
9741,9,4
9683,9,4
11872,17,4
7321,17,4
12882,17,4
13980,17,4
7716,174,4
12407,174,4
8978,9,4
6369,17,4
9906,17,4
7277,9,4
11735,17,4
6229,174,4
9588,174,4
3077,10,4
7455,174,4
12041,10,4
4557,10,4
5671,17,4
8744,17,4
5202,17,4
12689,17,4
9566,17,4
11114,174,4
7814,10,4
3820,9,4
5428,17,4
5290,9,4
8877,17,4
9347,10,4
3015,9,4
1321,9,4
6606,174,4
1564,174,4
10855,17,4
8952,17,4
11151,9,4
13225,10,4
1653,17,4
13540,10,4
7609,174,4
8543,9,4
6630,17,4
4666,174,4
1045,174,4
989,17,4
9674,17,4
7174,17,4
6927,10,4
5237,17,4
11227,17,4
10129,10,4
12833,174,4
9174,17,4
8328,174,4
1523,9,4
10130,10,4
11127,9,4
10503,9,4
4029,17,4
10104,9,4
9936,17,4
9693,10,4
6038,9,4
5315,9,4
11717,17,4
6147,174,4
3005,9,4
8772,9,4
2097,17,4
13289,174,4
2975,174,4
11416,17,4
12689,10,4
11045,9,4
7062,174,4
12462,9,4
5627,10,4
13208,9,4
12319,9,4
13391,9,4
11251,10,4
6328,9,4
11554,174,4
11936,174,4
7305,9,4
7762,17,4
2319,10,4
13568,17,4
12250,174,4
3417,17,4
12046,17,4
11004,9,4
9571,17,4
8724,17,4
11614,174,4
1940,17,4
1148,9,4
13121,17,4
6147,10,4
13178,174,4
13187,10,4
3222,9,4
9327,17,4
6369,9,4
7028,17,4
7149,9,4
7035,9,4
11905,174,4
10498,17,4
8523,10,4
9459,10,4
13008,9,4
5440,174,4
9727,10,4
13409,9,4
3909,9,4
4666,10,4
12556,10,4
3417,10,4
1940,9,4
2403,9,4
11123,10,4
8182,174,4
10874,10,4
6776,17,4
10950,10,4
11047,10,4
4297,10,4
8167,9,4
9255,174,4
757,174,4
8446,174,4
5019,10,4
6910,9,4
8575,174,4
893,10,4
7716,17,4
4423,174,4
10920,17,4
12029,17,4
12953,10,4
3297,17,4
7062,17,4
6703,17,4
10151,10,4
10880,10,4
12387,9,4
10163,17,4
9970,10,4
9167,17,4
9461,9,4
4475,9,4
7441,174,4
13040,9,4
12510,174,4
7441,9,4
5290,174,4
3985,174,4
10152,17,4
11026,9,4
8474,9,4
8292,9,4
379,10,4
11895,17,4
8744,10,4
9842,174,4
4392,10,4
11632,9,4
9620,9,4
10950,17,4
10016,174,4
8294,17,4
12332,174,4
11559,174,4
8108,174,4
8146,10,4
2477,10,4
14487,10,4
7217,17,4
12269,9,4
9371,10,4
13716,9,4
11654,174,4
7900,10,4
9864,9,4
10329,9,4
516,9,4
7528,9,4
8450,10,4
12828,9,4
12198,10,4
10827,17,4
10422,9,4
7720,17,4
13052,17,4
10611,17,4
9345,10,4
11121,17,4
13023,17,4
13970,17,4
11957,17,4
7103,17,4
13025,174,4
4132,9,4
2390,9,4
8044,17,4
7516,17,4
7946,9,4
8732,9,4
2320,10,4
11691,174,4
11004,17,4
7253,17,4
13732,17,4
3283,10,4
11580,10,4
4593,174,4
12041,17,4
13479,9,4
11771,10,4
12407,9,4
568,174,4
4671,174,4
12407,10,4
11095,10,4
10116,9,4
6606,9,4
11378,9,4
9679,17,4
12946,174,4
12891,9,4
7304,9,4
9084,9,4
1523,174,4
10827,9,4
12401,174,4
5110,9,4
4592,10,4
8,10,4
13817,174,4
10377,10,4
9834,10,4
13245,9,4
