h,t,r
3839,6740,307
10383,8477,307
12827,2086,307
3342,4742,307
3296,2086,307
10406,2086,307
10406,4742,307
10406,6842,307
6997,3110,307
75,3110,307
397,2086,307
657,6740,307
11670,6740,307
11125,6786,307
177,3110,307
3939,6842,307
4398,9522,307
2018,9522,307
1264,11897,307
8663,6786,307
874,11897,307
75,6842,307
2915,3263,307
1169,6842,307
4545,8477,307
10666,6786,307
4398,4742,307
3839,4522,307
12986,3110,307
1169,3110,307
6490,3110,307
75,3263,307
8165,4742,307
4339,8477,307
4521,6740,307
3780,9522,307
12072,6740,307
8545,11897,307
10666,6740,307
3296,6786,307
2389,3110,307
2085,6740,307
6490,6786,307
8663,3263,307
2915,11897,307
874,6786,307
1169,2086,307
2085,11897,307
4882,11897,307
397,3110,307
4545,2086,307
3342,6786,307
12072,2395,307
12072,8477,307
11125,3263,307
4741,6786,307
6490,4742,307
4339,6740,307
177,6842,307
12827,6842,307
4882,6740,307
4398,6740,307
3342,9522,307
1455,4522,307
3780,2086,307
4741,6842,307
177,4742,307
12827,6740,307
657,4742,307
2085,8477,307
75,8477,307
1432,3263,307
3839,6842,307
4339,3110,307
1455,6786,307
4398,6786,307
12827,2395,307
6739,8477,307
6490,4522,307
4339,4742,307
2085,2395,307
2028,4742,307
11125,11897,307
6026,2086,307
397,11897,307
874,8477,307
8663,6740,307
2389,9522,307
2389,4522,307
3839,4742,307
6026,3263,307
2407,6842,307
657,2395,307
11670,4522,307
2915,8477,307
2085,6842,307
1264,6786,307
12986,9522,307
177,6786,307
6026,6740,307
4521,6842,307
2028,11897,307
4882,8477,307
8663,6842,307
12986,11897,307
6490,3263,307
6026,9522,307
6997,4522,307
3296,11897,307
177,3263,307
12424,3263,307
2394,6842,307
12986,4522,307
4741,3110,307
10406,3263,307
75,2395,307
4521,11897,307
75,6786,307
4398,3263,307
2028,9522,307
1291,6786,307
7580,9522,307
7162,3263,307
6739,2086,307
4521,3263,307
3839,6786,307
6739,3110,307
6490,2086,307
8695,4742,307
2085,4522,307
10406,11897,307
3780,6740,307
11670,9522,307
1455,4742,307
12072,6842,307
1416,6842,307
657,6786,307
3939,3110,307
4545,9522,307
4521,3110,307
11670,3263,307
6068,2395,307
4545,11897,307
1160,9522,307
12986,3263,307
5483,2395,307
920,4522,307
3939,4742,307
8165,6842,307
12072,11897,307
1455,9522,307
2018,6740,307
1264,4522,307
177,11897,307
8165,2395,307
4521,6786,307
12827,6786,307
6581,4742,307
177,2395,307
1291,6842,307
657,3110,307
4339,6842,307
4339,11897,307
12072,9522,307
8663,3110,307
3262,6842,307
75,4522,307
920,6786,307
1455,3110,307
4339,6786,307
12424,9522,307
11125,8477,307
7162,4742,307
6581,2086,307
12986,2395,307
12827,4742,307
5483,6786,307
6490,6842,307
2915,9522,307
920,3263,307
8165,11897,307
4741,2086,307
3262,9522,307
2915,3110,307
397,8477,307
920,2395,307
7580,8477,307
2915,6786,307
2018,8477,307
12857,6740,307
874,9522,307
6490,6740,307
6490,8477,307
1416,6740,307
12857,2086,307
1160,2086,307
3939,3263,307
10666,6842,307
2394,8477,307
2394,6786,307
10666,2086,307
10666,9522,307
4398,4522,307
3262,3110,307
11670,6842,307
6581,3263,307
4741,2395,307
6581,3110,307
2394,3110,307
12827,11897,307
6739,4742,307
1416,2395,307
12857,9522,307
3839,9522,307
12986,8477,307
2018,6786,307
12986,4742,307
3939,6786,307
6026,2395,307
12072,3263,307
12827,4522,307
1169,4742,307
874,2395,307
11125,3110,307
920,3110,307
1416,4742,307
8165,3263,307
3296,4742,307
1432,4742,307
6997,3263,307
2028,6842,307
1291,6740,307
5483,6842,307
920,2086,307
3296,9522,307
3780,4742,307
6581,11897,307
2389,8477,307
1416,8477,307
4521,2395,307
2407,4742,307
3839,11897,307
4741,8477,307
10666,11897,307
12424,6740,307
1160,6786,307
4741,6740,307
2028,3263,307
7162,2086,307
874,6740,307
12857,6786,307
1160,11897,307
920,6740,307
5483,2086,307
1432,6740,307
4521,8477,307
6739,6786,307
397,6842,307
2394,4522,307
7580,2395,307
3839,8477,307
4339,4522,307
1160,6842,307
920,4742,307
12072,4522,307
4398,8477,307
657,3263,307
8545,3110,307
4545,4742,307
7162,4522,307
12857,3263,307
7162,6740,307
1264,6842,307
7580,6842,307
4521,2086,307
11670,8477,307
4545,4522,307
6739,4522,307
12857,4522,307
2018,3263,307
920,6842,307
10406,6786,307
8165,6786,307
3342,6740,307
7580,3263,307
75,6740,307
12857,11897,307
8165,6740,307
6997,2086,307
1160,3110,307
12424,3110,307
1432,2395,307
6026,8477,307
1291,4742,307
6739,3263,307
2085,6786,307
6997,6842,307
11670,4742,307
657,4522,307
177,9522,307
4339,2395,307
3939,2395,307
2018,6842,307
5483,4742,307
2085,3263,307
1291,3110,307
2915,2086,307
1264,2395,307
3780,8477,307
4398,2086,307
177,6740,307
3296,8477,307
1169,6740,307
3939,4522,307
1432,8477,307
2085,9522,307
11125,2086,307
7580,6786,307
2389,2086,307
4741,4522,307
10383,3110,307
657,11897,307
8165,4522,307
11125,6842,307
8165,8477,307
874,3263,307
5483,8477,307
8695,6786,307
7162,2395,307
3939,8477,307
2394,2086,307
2085,4742,307
874,6842,307
3262,8477,307
4545,6786,307
874,4522,307
12424,4522,307
1160,4742,307
3780,6842,307
12424,6842,307
4521,9522,307
6739,6842,307
8545,2086,307
397,4522,307
12424,11897,307
11670,11897,307
4545,3110,307
1432,9522,307
10081,6786,307
1416,11897,307
7580,11897,307
874,3110,307
2407,2395,307
3839,2086,307
1169,11897,307
7580,3110,307
11125,2395,307
1160,6740,307
2407,6786,307
10406,2395,307
11670,3110,307
75,11897,307
4741,9522,307
1264,4742,307
2915,6842,307
8695,2395,307
1432,6786,307
397,9522,307
12986,2086,307
3342,4522,307
2394,6740,307
8663,9522,307
12857,4742,307
1432,4522,307
2028,6740,307
6026,11897,307
2407,3263,307
1169,2395,307
6581,9522,307
2018,4742,307
12827,8477,307
2407,6740,307
8663,4742,307
1432,3110,307
1264,3263,307
4339,9522,307
75,9522,307
8663,11897,307
2394,9522,307
10406,4522,307
1291,4522,307
11125,9522,307
12986,6842,307
6068,6740,307
2394,3263,307
4882,4522,307
1432,11897,307
3296,6740,307
1264,6740,307
3342,2395,307
6997,11897,307
3342,8477,307
12857,6842,307
12622,13364,947
12781,6010,947
14001,6010,947
14001,13364,947
13207,6010,947
6011,6010,947
6011,13364,947
13207,13364,947
13666,6010,947
13666,13364,947
13013,6010,947
12781,13364,947
7462,6010,947
7462,13364,947
13005,6010,947
6010,6010,947
6010,6011,529
6010,13005,529
6010,13013,529
13364,14001,529
13364,13207,529
13364,12622,529
6010,13207,529
13364,7462,529
6010,13666,529
6010,14001,529
6010,12622,529
13364,13666,529
13364,6011,529
13364,13005,529
6010,12781,529
6010,7462,529
6010,6010,529
2543,214,338
2376,214,338
3002,638,338
8703,214,338
12620,214,338
2674,638,338
12197,638,338
5892,638,338
3002,214,338
12197,214,338
3054,638,338
1545,638,338
11606,214,338
4445,638,338
6120,638,338
7576,638,338
1179,638,338
12067,214,338
8703,638,338
4445,214,338
3054,214,338
5892,214,338
6120,214,338
7576,214,338
12620,638,338
2674,214,338
12067,638,338
497,3239,451
3100,506,451
497,2564,451
1747,2564,451
3100,2225,451
1747,3239,451
3100,1145,451
3100,1520,451
1747,789,451
3100,5102,451
1747,1053,451
1747,1435,451
3100,2965,451
3100,3276,451
3100,3624,451
497,5629,451
497,494,451
1747,2073,451
1747,8396,451
1747,494,451
3100,1435,451
497,789,451
3100,1170,451
1747,1739,451
1747,1035,451
1747,3591,451
497,2225,451
497,7171,451
3100,3992,451
497,1804,451
497,2965,451
1747,1170,451
1747,2064,451
497,1038,451
497,2637,451
497,5102,451
1747,543,451
497,1053,451
1747,9662,451
497,1145,451
497,10403,451
497,2260,451
3100,1035,451
497,762,451
1747,10403,451
1747,7171,451
3100,1583,451
497,8396,451
3100,1053,451
1747,2637,451
1747,29,451
1747,2260,451
1747,762,451
3100,444,451
1747,4526,451
3100,1038,451
3100,3526,451
497,3992,451
3100,543,451
3100,3334,451
3100,10403,451
497,506,451
1747,1626,451
3100,2260,451
3100,2564,451
3100,789,451
497,1435,451
497,3526,451
1747,5102,451
3100,3591,451
1747,1520,451
3100,2314,451
497,1170,451
3100,762,451
497,2064,451
1747,1583,451
497,2356,451
497,1626,451
3100,2064,451
497,2314,451
1747,1145,451
3100,1772,451
1747,1772,451
1747,3334,451
497,1772,451
497,2073,451
497,4526,451
3100,3239,451
497,543,451
1747,3526,451
1747,1804,451
3100,9662,451
497,444,451
497,3624,451
1747,3992,451
1747,2314,451
1747,2225,451
1747,506,451
497,3276,451
3100,2073,451
497,9662,451
4908,174,482
2742,9,482
11499,17,482
2742,174,482
8323,10,482
905,174,482
11559,17,482
9517,10,482
11632,10,482
8,17,482
2742,17,482
5162,174,482
585,10,482
11499,174,482
9517,17,482
9693,17,482
4221,174,482
8323,9,482
4007,10,482
13067,174,482
9665,174,482
11911,10,482
4908,9,482
10104,9,482
1341,10,482
905,17,482
11499,10,482
10715,17,482
585,17,482
11911,17,482
5110,10,482
4433,10,482
6909,9,482
4007,17,482
1341,174,482
8,9,482
8,10,482
4219,17,482
11559,174,482
9517,174,482
5162,10,482
11499,9,482
11911,9,482
10104,174,482
11632,17,482
9842,17,482
9620,174,482
4433,174,482
9665,9,482
9620,9,482
10715,174,482
3515,174,482
4219,10,482
9620,17,482
4221,17,482
9693,10,482
9693,174,482
4433,9,482
9620,10,482
3940,17,482
9842,9,482
4219,9,482
6909,17,482
3515,10,482
2319,10,482
13067,17,482
11559,10,482
9977,10,482
8323,17,482
4219,174,482
6909,10,482
5162,17,482
1341,9,482
905,10,482
6909,174,482
3515,9,482
4221,9,482
10715,10,482
11559,9,482
5162,9,482
3515,17,482
8,174,482
4007,9,482
5110,9,482
4908,10,482
3940,174,482
10104,17,482
585,9,482
4007,174,482
5110,174,482
9977,17,482
2742,10,482
9842,174,482
3940,9,482
13067,10,482
5394,5395,513
8838,1856,513
5394,10522,513
8838,9941,513
5394,5744,513
5394,8210,513
798,1856,513
798,7356,513
798,10522,513
8838,5395,513
8838,6959,513
5394,3930,513
798,4735,513
8838,7356,513
798,6959,513
8838,3929,513
5394,797,513
5394,6959,513
5394,8785,513
5394,8296,513
798,3146,513
5394,3146,513
798,8296,513
798,5395,513
5394,12518,513
5394,1856,513
5394,5225,513
798,5225,513
798,8785,513
5394,8140,513
8838,5225,513
8838,8785,513
5394,3929,513
5394,4735,513
798,5744,513
798,9941,513
5394,7356,513
8838,3930,513
8838,8210,513
5394,12425,513
798,797,513
798,11766,513
8838,4735,513
5394,9941,513
798,8210,513
797,798,174
5225,798,174
10522,8838,174
12518,5394,174
5225,8838,174
3929,5394,174
12425,5394,174
5744,5394,174
3930,5394,174
8785,798,174
5744,798,174
9941,798,174
8140,798,174
8296,5394,174
3929,798,174
8210,798,174
5395,5394,174
5744,8838,174
5395,8838,174
8785,5394,174
797,8838,174
3146,5394,174
10522,798,174
8210,5394,174
4735,5394,174
7356,8838,174
4735,8838,174
9941,8838,174
1856,798,174
7410,5394,174
11766,798,174
9941,5394,174
1856,5394,174
10522,5394,174
3930,798,174
8210,8838,174
797,5394,174
3930,8838,174
3146,798,174
8296,798,174
8140,5394,174
4735,798,174
6959,8838,174
2846,5394,174
6959,798,174
5225,5394,174
2314,3100,385
2225,497,385
494,1747,385
3276,3100,385
5629,1747,385
2073,497,385
2965,497,385
3334,497,385
2965,3100,385
444,3100,385
2965,1747,385
1739,1747,385
1583,497,385
3591,1747,385
1739,3100,385
494,3100,385
762,497,385
444,497,385
1145,497,385
1435,497,385
1035,497,385
3239,3100,385
3526,497,385
2064,3100,385
2225,3100,385
1626,3100,385
1038,1747,385
29,3100,385
1435,1747,385
762,1747,385
4526,497,385
444,1747,385
4526,3100,385
7171,3100,385
789,3100,385
2564,3100,385
1739,497,385
1170,1747,385
1804,497,385
1053,497,385
1772,497,385
8396,1747,385
1804,1747,385
7171,497,385
1038,3100,385
1520,3100,385
1772,3100,385
1583,1747,385
8396,497,385
494,497,385
5102,1747,385
10403,1747,385
5629,3100,385
3276,497,385
543,497,385
2356,497,385
506,497,385
5629,497,385
3624,3100,385
2564,497,385
2260,497,385
3624,1747,385
2064,1747,385
9662,3100,385
1170,497,385
7171,1747,385
3591,3100,385
2225,1747,385
394,497,385
1626,497,385
1145,3100,385
5102,497,385
394,3100,385
5102,3100,385
1583,3100,385
10403,3100,385
1626,1747,385
789,497,385
2637,1747,385
506,3100,385
3992,497,385
1035,3100,385
1038,497,385
3624,497,385
3334,3100,385
1520,497,385
4526,1747,385
762,3100,385
1170,3100,385
789,1747,385
2637,3100,385
2637,497,385
1772,1747,385
1145,1747,385
9662,497,385
1804,3100,385
3526,3100,385
2314,1747,385
2564,1747,385
3334,1747,385
3591,497,385
